|glyph|phon|meaning|note|
|-----|----|-------|----|
𓁷 𓂋 𓇯||upper part, top|oberair oberer upper 
𓋴 𓏲 𓈙 𓂋 𓇳||© dry|sunδry / alles sutscher -
𓋴 𓐍 𓀜||hit, smite, beat|sk<>strike -
𓋴 𓐍 𓂋 𓏏 𓍼 𓏤||roll (of papyrus)|scrit
𓋴 𓐍 𓅓 𓆱||sceptre, sistrum|scepr ➙ sceptre  EN
𓋴 𓐍 𓅓 𓆱||sceptre|scepre  = sceptre  ⇔ käfer? / "Sekhem" ~ Saxem ⇔ Saxen?
𓋴 𓐍 𓅱 𓎸||breadth|skopus : scope 
𓋴 𓐍 𓆼 𓄿 𓀁|think…|© remember, call to mind, think about, mention|re.caller ← g.khlair ? --
𓋴 𓐍 𓈖 𓅯||© alight, rest, dwell|<> shun seclude?
𓋴 𓐍 𓈖 𓏏 𓉽 𓏪||(the four) posts (of the sky)|sekanten? <<
𓋴 𓐍 𓈖 𓏮 𓅯||(causative) alight, rest, dwell|Sekunden Flucht --
𓋴 𓐟||wise man|saba <> savant 
𓋴 𓐟 𓄿 𓂋||need   X|dispair spare EN
𓋴 𓐟 𓄿 𓀁||be wise, prudent, be satisfied, be sated|sabaa ⇔ savant 
𓋴 𓐟 𓄿 𓀁||be wise, prudent, be satisfied, be sated|savoir / schalten=raffen / shatisbacka / satisfied sated ?
𓋴 𓐟 𓄿 𓄿||wisdom|s'ba'air: spirit savoir  
𓋴 𓐟 𓄿 𓅓 𓏏 𓁸||lock of hair|~Spirale.mos  ϫⲓϭⲱⲓ
𓋴 𓐟 𓄿 𓆭||recognize|schalten 
𓋴 𓐟 𓄿 𓈎 𓆌 𓏜||pull together, be wary|s'backer➙suspect  EN ⇔ Speck  / sercu-speckt / suspect 
𓋴 𓐟 𓄿 𓐎 𓅪  𓂝 𓏤||the weak of arm, weak man   -vål|Speier speien  DE / Spacker Spacken  ƒ no K
𓋴 𓐟 𓉐||byre|Stall / sby-re
𓋴 𓐠 𓄿 𓎛 𓏏 𓃄||neighbourhood|Satelit  / satarit / sa'ert / suburb
𓋴 𓐪 𓂧 𓀢 𓀀||sailor, traveller|spot-hailer / sailor --
𓋹||swear|ankher / anger  / sanker / zanken  / ank-swear / ankhuir = inquire ? / ankhui-sition = inquisition?
𓌃 𓀘 𓀀||staff of old age (supporter of an aged parent)|ward ⇔ words EN / mast ⇔ mots / staff ⇔ stuff
𓌃 𓂧 𓏏 𓀁||words|words / ⇔ BuchStaben ' / ⇔ DABAR daw-baw' Buch-Stabar -- / DABAR daw-baw' *δdaba Buch-Staben, STAB, STOP, STERB, STEP sake style -- / dibrah dib-raw' ⇔ STOP™ / fem.1697 /  a reason, suit or style: cause, end, estate, order, regard.
𓌈 𓏤 𓉐||chapel|Messe 
𓌙||?|Thinis  vs / Tunis  @ Sea see:
𓌙𓌙𓌙||späher  DE|
𓌛  𓄘||chops ~|Kopus:hAxeBeiln ⇔ Hack-Haxe-axe Fleisch   ~ / chop / ⇔
𓌢 𓎼 𓂋 𓈉||(locality) Babylonia|Twaiger : 2-river Tigris   / Twin_Kur II / Synger Zwinger Sieger Sänger Sumer vs Niger
𓌢 𓏏 𓁐||sister|twind kind cindy twist: sith sister Schwester zweither 2nd 
𓌥 𓃀||garment (worn by god)|?? / robe?  ← / guard.robe
𓌪||share |scheren (weg) / ⇔scare / square dough? / scrape / sgrab dough?
𓌰 𓋴 𓋳||clothe with the head cloth|ikes إكس ? AR ← ink  / mins ?
𓌰 𓎛 𓀔||orphan, private person, freeman|minher ⇔ minor / īcare? ←  / ⇔ Inka? / U Agriculture and Crafts
𓌳||Laei lion  clean ← Laie לLamed OK|
𓌳  𓄿||Laei lion  לLamed / Lair OK  |Masai  clean / ⇔
𓌳 𓄿 𓅱 𓏏||new land|neu:Land  / ⇔
𓌳 𓄿 𓇋 𓃬 𓎛 𓋴 𓐠 𓅱 𓄑 𓏛||fierce lion|lion rasant 
𓌳 𓄿 𓇋 𓄛||lion|Masai lion  clean
𓌳 𓅱 𓃬||(pl.) lions|Lion LWn Liwn Leu Leo Lewu Leuw Loew Lew Löwe  / Mau.n (see above)  bivalent / mau / Mastu / Masten / ⇔ Afrasian *¿um-¿am- “animal,” are more likely to continue Semitic *hVm/wΩm “large wild feline” (cf. also „umu “ein Mytischer Löwe” ⇔ Arabic hawwΩm “lion” Tigrinya hœmmäm “leopard” Cushitic: Beja hiam “cheetah” (Hudson), y`ham “leopard”
𓌳 𓏌 𓏌 𓏌 𓈉||(locality) the Western mountain|MAuretan ⇔ mountain  / masturia /
𓌴 𓁹 𓄿 𓅱 𓁷 𓏤 𓈔||mirror|mirror ← mayru-copper 
𓌴 𓐙 𓂝 𓂻||lead, guide, direct, send, despatch, throw out (rope from ship)|*masteer  / master / steer / دليل daɽiɽ = direct 
𓌸 𓂋 𓏏||wife|Tyreut / Traut  / Merith / (er)Hoert / (er)HoeBt / ⇔ Braut = bride
𓌻 𓂋 𓂋 𓏏 𓉕 𓉐||street, avenue (of statues)|maur-road ⇔ maraud marred?
𓌻 𓂋 𓂋 𓏏 𓊋||street, avenue (of statues)|maraud  (vagabond) ma=fahr@sumer / Mauer / taur.road ⇔ (s)treet EN/DE / ailing / ramshackle
𓌻 𓂋 𓅱 𓇋 𓇋 𓏏 𓏮||the well-beloved|merrianit  (?)
𓌻 𓂋 𓇋 𓇋 𓏏 𓀀 𓏥 𓁐||weavers, servants, underlings|mauriter  ← / hoeriter / Insher Inseler? / Phressher Fresser
𓍁 𓂋 𓏏||fruit, seed, (in sense of offspring, posterity)|fruit EN fur.ḫoe.t f'reut ⇔ Furche / fawaakih AR - / acron ← hAcker.os  /  Acker.on
𓍁𓆱||hobeln |
𓍇  𓄓||unguents  as|
𓍍||cetera  |
𓍑 𓄿 𓅱 𓇰||night|vs lailaun ← / serenade serenight serenus ‎(“calm”) ⇔ =
𓍑 𓄿 𓅱 𓇰||night|Zaire ← sire Zeit / fire-hour? Feierstunde? fairen / PhoiNix black night? no-photo / ZA: serenade serenight serenus ‎(“calm”) ⇔ = / _NaiD : night ⇔ nai.qt quiet  ⇔ nit da dark / νύξ nύx nux noche Nacht nyx night IT vs DE/EN VS laila=night@SEM. (lila vs phoiNix purpur)
𓍑 𓄿 𓍑 𓄿 𓏲||pot|faience ?  / fairfair: porphyry = faience  QED
𓍑 𓄿 𓏴 𓂡||reach out (of child's mouth after milk), take (the breast to), devour (food), provide (with),|fasha : extend  / ⇔ fetch   fassen ENDE / ⇔ fasha:watar : extend wade,warten,waiten,waten im wasser ??? / ?? ←?>fish? pierce? / ⇔ pharten: παρατείν para.tend=ex.tend extend / ⇔ רח pârach paw-rakh' reach/blossom/grow/... parch, brech? ⇔ ranke ... / ⇔ (ƒ)ἔrchο urge `roach reach ⇔ ergo : worko / ←ƒ> מ ה מ ה a eh a âh mat-teh'
𓍑 𓄿 𓏴 𓂡 𓂾||impede|vzer-enden ⇔ be-enden  G
𓍑 𓏏 𓊌 𓅭||crane|PhoiNyx    ← / Fzainix = Kranich
𓍑𓆑/ Phy/Cyn/nix ? ➙ Fzainix ψ Phtha)FAir/FAin/FAil ferry, feind, falsch, phoeni, pain,need(GR) fasha=fetch fashion b)ZNd,GN,JN er z ser  guard/gatorc)_niχ, νύξ, νυκτ: need, night, nig nicht-gnite gegn 𓏏 𓏮 𓂝 𓀀||/L |hemati Hämatit Roteisenstein carnelian auch rot  naja --guard/gator
𓍘 𓄟 𓊃 𓅱 𓏞 𓅪  𓏥||injury, harm    -vål|smashen / Schmerzen  DE
𓍛 𓅱 𓅱||fuller (washer of cloth) ?|~hemden 
𓍛 𓈗||fuller (washer of cloth)?|hemd* 
𓍬 𓏏 𓐎||injury|wound 
𓍯 𓄿 𓀜||far (from), long ago, for a long time past, go|roa' rachowq@SEM  / roga ➙ go / gero ➙ hiero
𓍯 𓄿 𓃀 𓆰||← roobt   rupf roots |
𓍯 𓄿 𓅓 𓊮||bake ?|roastƒ / robake@HEB 
𓍯 𓄿 𓈐||far (from), long ago, for a long time past, go|rachiyq / rachowq @HEB  'roady' / ruku rikhqa rahuqo distance, far / reach'ing / rad ready / raqa@Assyr escape vs throw ⇔ Rache ⇔ Schreck?
𓍯 𓄿 𓊮||roast ? (grain)|roa* 
𓍯 𓄿 𓎼 𓀁||shouting|rage ⇔ roar ? rachen?
𓍯 𓄿 𓏏 𓈐||road, way|road  / Weg --
𓍯 𓆓 𓇆||(adj.) fortunate, happy|roche-rich   / Groschen
𓍯 𓇇 𓉸||columned forecourt|rowed court 
𓍯 𓍯 𓏏 𓈉||Wawat (Northern Nubia)|Roarot ⇔ Erythrea  DE/EN
𓍯 𓍯 𓏏 𓎆||cord|rrod=hrod=cord  / roter Faden  ←
𓍯𓏏𓈐  𓈘||road  rod |path, post, part / طريق ptaryaɠ *ptharoadg  / дорога doroga
𓍰 𓏏||measure out (land), found (a house etc), form (limbs), refix (eyes of the dead)|measure? / ال مؤسسة ał muassea NICE EN/AR QED
𓍱 𓊃 𓅓 𓁹||be shot (of eyes)|shzemuys:δemu demu=blood@SEM 
𓍱 𓋴 𓂋 𓏛||utter, express|schiesser / s'utther ~ utter / schotte~mouth ⇔ shut 
𓍱 𓏤 𓌽 𓏥||corn|cean ~ corn ⇔ capri'corn@sea? ⇔ Schnitt Scheren ~ grain    / ⇔
𓍲 𓈖 𓅨 𓂋||ocean|ocean-verr (vert=green/great)  EN
𓍲 𓈖 𓍿||sheriff|Gendarm
𓍲 𓈖 𓍿 𓅱 𓀁||strife, quarrel|zanken  DE  / 战争 zhànzhēng = Krieg ➙ ver-schanzen ⇔ 山 shān Schanze = Berg scanso "defense" / ⇔ chance? / ⇔ shank / ⇔ Schenken = zank besänftigen / ⇔ schön schonen ...
𓍲 𓈖 𓍿 𓏝||strife, quarrel|Schanzter / Zank ← Xankter 
𓍲 𓈖 𓏌 𓏲 𓁸||hair, grass|Schnüren DE / ⇔Schnitter
𓍲 𓈖 𓏌 𓏲 𓍢||net, meshes (of net)|Schnuren  DE
𓍲 𓈖 𓏏 𓀜||revile (God), oppose (someone), punish (crime)|Schinden Schande 
𓍲 𓈖 𓏏 𓍢||sheriff|Gendarm / Schinder?
𓍼 𓈎 𓀁||swear|zieq: zeug/zeig  DE / an.zeigen δειx=zeig
𓍿||snace   c with t: tc QED|hhanather sn...Natter / hhanash : snake hhanather / h'n : he, sin, him, his, ...
𓍿 𓃀 𓋸||be shod, provide with sandals|cuvd: shod=shoed(beschlagen, beschuht)  EN
𓍿 𓅓 𓋴 𓏞||red, ruddy, violet|δms thymese ⇔ tomathe/thymian (violet OK) ジ 菫 zing 
𓍿 𓅱||(dependent prn.) you|thou  / thu, tu, / chun / youn / tschun / tschen / dju
𓍿 𓅱 𓏏||(ind. prn.) you|δuth DU DE thu ➙ you
𓍿 𓇋 𓍿 𓇋 𓂻||trot|thethe : trote / cue-cue / so-so / zieh-zieh / δy-δy / ZehZeh / trotre : trot / ⇔ schritt / ⇔ töten / ⇔ tsa`ah
𓍿 𓇋 𓏏 𓂇||image, form, shape, figure, design, (written) sign|title^^ ⇔ tatoo ← CENTRAL / citel / ßeipth ⇔ sight  ← COG EN cite zitieren cetera
𓍿 𓇋 𓏏 𓊍||dais|δyith dais / sitz  / backwards better but ok
𓍿 𓈖 𓆑 𓀁||enjoyment|δnsn ⇔ dancen / Tanzen  DE
𓍿 𓈖 𓏏 𓌙 𓅯 𓏛||difference (between x and y)|contrairy  FR ← / anthar'leikei @ Goth
𓍿 𓈖 𓏥 𓂋 𓏤 𓂡||eager, valour|thunder 
𓍿 𓉔 𓃀 𓈖 𓂻 𓈓||leap, prance (of animals)|toben DE / cjhomben ⇔ jump / *hoppen  ^^ >> / prance:stolzieren almost well done, Rene Friedman ????
𓍿 𓊃 𓀁||be angry (with), bear a grudge (against)|tosen DE
𓍿 𓊃 𓅓 𓄛||hound, dog|chzyem ⇔ κυνη ⇔ chien 犬 quǎn  GR/CN/EG/FR  ← / δyδyfr terrier δyδypr ⇔ cyper ⇔ keeper ... cezfer ? ^^ journey
𓍿 𓊃 𓌙||be angry (with), bear a grudge (against)|sysym-ang  / zickig?
𓍿 𓊪 𓎛 𓏏 𓉐||cavern, hole (of snake)|covert : cavern  ^^ / Cypert ⇔ Zypern ⇔ Kft / vs Malata
𓍿 𓋴 𓀉||sit|sess  ← / tsits
𓍿 𓌙 𓎛 𓏌 𓏌 𓈀 𓏌||(locality) Libya|Sahara sãhuru ~ Sand.horus  ← / Sänger Ort / Cangeru ⇔ Tangir ??
𓍿 𓎛 𓅱 𓀁||joy|cheeren EN/DE 
𓍿 𓎛 𓅱 𓄑 𓏛 𓏥||joy|cheer  / χαίρ = cheer rejoice  / 'esher eh'-sher @ SEM ← /  happiness| how happy: blessed, happy. / |
𓍿𓅓色   🔴||色 crimson  🔴|ZinnZe 橙色 zhongsè ⇔ BronZe 铜色 tongsè taint ⇔ paint / δnth ⇔ taint tan ⇔ Zinn  ⇔ 丹 dān δn Zinn-ober ⇔ 单 dān / Prs ⇔ πυρός phyros pers  / πυρός, ά red, fire-colored / πυρράζ phyr = red
𓍿𓈖𓌙   𓅯𓏌𓅱𓏜||coun  counern ?|
𓎂 𓅱 𓏏 𓊖||(locality) Asyut (Lycopolis)|aSyut  ~
𓎔 𓂝 𓎛 𓏮 𓀁 𓏪||take thought (for), ponder (on)|fikr : thought, idea, opinion, judgment Aze fikir, Hin fikr, Ind fikir, pikir, Kaz pikir, Kyr pikir, Per fekr, Swa fikara, Tat fiker, Tur fikir, Uzb fikr / 1) ghaur, ghara Hin gaur, Per ghour   / 2) mNous ~ Mind mens mentis pro.nοia (forethought/sight⇔noizar) ma.dzanna : thought  / *oher / flander~ blunder ~ wonder ~ ponder pun- floher الفكر fiker ⇔ thinker / take thought : denken = tâkan@HE  / aushecken / hägen : hâgâh / vs phrοntic
𓎔 𓎛 𓅱 𓆰||linen thread|⇔ flaxen / ~nähen  / grt?
𓎔 𓎛 𓏲 𓊝||hunter   K|norther ⇔ Netzer = Hunter   / ⇔ mörder? / ⇔ nar-wale
𓎔 𓏏 𓎸||bowl|gourd™  ⇔ koule קערה qe‛ârâh  kîyôr gûllâh gôl gallâb  ⇔ ף kaph? kugla
𓎔 𓏏 𓏮 𓈇 𓅓||northward to|northern G  ← 
𓎔 𓏛 𓂋 𓂧 𓀀||hurry |ghaddha Uga  / __ rush rasch / ⇔ Katarakt ƒ / --
𓎔 𓏛 𓄣 𓏤||one who is trusted, confidant|mNoustershear المستشار / confidant @AR 
𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔𓎔|||GOURD / FLA / North γωaδ⇔µωaδ~mNwoa  VS Phlωa / nGr/GRT gourd, guard, care sinkher ? ⇔ imker/Gvert North ~ grau nager vs / nGr : ghour=depth=thought ⇔ grower
𓎗||writ wT |word
𓎗 𓅱 𓏜||command, (written) decree, despatch, precept|"written" 
𓎘    𓏝||(s)weawt : SchriFt  ← T |
𓎘 𓎛 𓏌 𓂝||pour out, pour off|swappour / swapp  / whiHuro ~ wässer? / ←1/>
𓎛 𓂋 𓊪 𓈙 𓀭||Nile|Heros  / Therapy
𓎛 𓂋 𓊪 𓈙 𓀭||Nile|Heros  / Therapy
𓎛 𓂝 𓃀 𓂡||play (draughts)|rob  / ~catchen -- :
𓎛 𓂝 𓄻 𓏥||body|khorbone : Körper DE
𓎛 𓂝 𓅪||short  -vål|khor: court/kurz DE/FR  / ⇔
𓎛 𓂝 𓉐||palace|Khor : court quarter KUR... N
𓎛 𓂝 𓊪 𓏮 𓈘 𓈗 𓀭||(divinity) Hapy (Nile god)|hRapy Haor⇔ harpy The.Rapy therapy Hrapy rapids Eu.ropa / 河 hé ⇔ Hao ⇔ heilig Helios ... ←  / Sarapis=OsirAPIS 𐤀𐤎𐤓𐤔𐤌𐤓 Achar.Shamar Osirxamar ⇔ Dionysios / 𐤀𐤎𐤓𐤔𐤌𐤓 OxarShemar ⇔ Sumer? 𐤀𐤎𐤓𐤔.𐤌𐤓 Osiris.Mar?
𓎛 𓂝 𓏏||wick|rod  EN
𓎛 𓂝 𓏏 𓍢||wick (of lamp)|rod 
𓎛 𓃀 𓅭 𓆛 𓏥||catch (of fish and fowl)|chapdsen catchen 
𓎛 𓃀 𓋴 𓏏 𓅱||cloth|covas ⇔ chevans ~ חפף kâphâ : COVER  I18N ENDE SEM
𓎛 𓄿 𓁏||mourn|hagah @ Sem  / harrer ⇔ horror ← / ⇔ harren, heulen, hokitika
𓎛 𓄿 𓂧 𓂸||lust|heat ⇔ Heather ⇔ herder ⇔ heat  ←
𓎛 𓄿 𓏏 𓏮 𓄣||heart, central chest, thought|heart ®  EN/DE  ← vs Semite:
𓎛 𓅓 𓎼||carnelian  X|carneij = carnelian  
𓎛 𓅱 𓂝 𓅪||short   -vål|khuor : court/kurz/short  vs lat: art=kurz ➙ s'art:short
𓎛 𓆰 𓈖 𓄏||horn|horn
𓎛 𓆰 𓈖 𓈖 𓂸||penis, circumcised penis|(Jo)Hannes Horn horny cann comn cannon / con cun VS cunt hornet 
𓎛 𓆰 𓈖 𓋴 𓅪  𓄣 𓏤||meanness   -vål|hämisch DE / ~Hans, Hannes mHeanness
𓎛 𓆰 𓈖 𓎛 𓆰 𓈖 𓂽||hinder, detain|hindern ENDE / hinher / ⇔control
𓎛 𓆰 𓈖 𓎡 𓇋 𓇋 𓏏 𓂢 𓋳||bed, bier|shank, Schenke  DEEN
𓎛 𓆰 𓈖 𓎡 𓏲 𓂠 𓏤||(diplomatic) gifts|schenk  DE
𓎛 𓆰 𓈖 𓎨 𓏜||control (oneself)|control / Kantral / Hermith? / ➙← con/hin ist vielschichtig / >← central
𓎛 𓆰 𓈖 𓏌 𓏲 𓄃||ribs|knuren ⇔ knoren ⇔ knochen? / ⇔ الأضل Al O`bone 
𓎛 𓆰 𓈖 𓏌 𓏲 𓈗 𓈘 𓈇 𓏤||canal|Chanuren ➙ canal, canoe  канал القناة channel QED ®
𓎛 𓆰 𓈖 𓏏 𓏛||occupation, craft, business, services|Kenntnis DE / Hermis ⇔ Chemith ? ⇔ Schmied / Kanten, Kantor, ... Kermten ... ? / искусство
𓎛 𓆰 𓈖 𓏏 𓏮 𓈐||(dual) the two sides (of time), the two ends (of time), eternity|hem.tit 1/2-time ⇔ hemi.sphere  ➙ empty ←  GR/I8 / Kanten
𓎛 𓆰 𓈖 𓏥||barque of Sokar|Kahn DE / cham : SUN / Sokar ⇔ Solar
𓎛 𓇉 𓄿 𓂧 𓆱||fish-trap|cacher drast? / cacher thraP ?? / häscher trap  / =kascher catcher
𓎛 𓇳 𓎛||eternity, for ever|heraher / hieracher  ➙ gerach / ewig / uralt / for ever / luralu
𓎛 𓈖 𓈖 𓌼 𓏤||hoe|heau = hoe  vs hernen
𓎛 𓊃 𓅭 𓄿 𓈗||milk, mucus, dough|Käse  / ⇔ Gänse :)
𓎛 𓊪 𓎼 𓏏||a leaping dance|hop'got 
𓎛 𓊪 𓏏 𓂘 𓏏 𓂻||course (of sun or moon)|hOrbit   / ⇔
𓎛 𓊪 𓏏 𓂻||travel|habit ƒ  / hOrbit  / mohabit / herbit ⇔ spatzier -- / Hott vs Hüh / Hroute / Hroad / Herpes⇔Nile
𓎛 𓌴 𓏏 𓈒 𓏥||salt|Halaitz ἁλίζ shalis saletz ال.صلت=salt,Salz  N  halltu@cym (při)solit@CES ⇔ na'solený
𓎛 𓌼 𓈖 𓏌 𓏲 𓏏 𓏮 𓀀||servant|Canooer - ~I18N / honoris 
𓎛 𓌼 𓈖 𓏏 𓏮 𓂻||(dual) the two sides (of time), the two ends (of time), eternity|Kanten  ← DE
𓎛 𓍃 𓂜 𓅭||destroy (enemies), quench (thirst)|quench EN ←
𓎛 𓍿 𓂋 𓇋 𓆴||tax, levy, provide (a temple with.......)|hertreja Erträge  DE
𓎛 𓏏 𓂝||extending the arm|hret ⇔ reach, recken, retten  ←
𓎛 𓏏 𓊮||heat|heat  / heiß / chaud / ca'lor
𓎛 𓏏 𓍃 𓅓 𓅪||perish, be destroyed   -vål|hurt hit.??? / hitten ⇔ hidden? / ~ retten / ←ƒ> אב ון 'ăbaddôn ab-ad-done' abandon  ⇔ a'bandon ‎(“jurisdiction, control”)
𓎛 𓏏 𓍃 𓏜||provide (with)|chazah  HEB  ⇔ gaze
𓎛𓃀𓅱𓃒||y'herbut يربط AR|
𓎛𓄿𓇋𓇋𓋳||gymnas khaymnas  ← GR|kahl holý keri ~
𓎛𓇳𓎛||forever eternal|hamelil / A¬sar @Pers Hittite harsar, Sanskrit siras / ⇔ / 1755 dowr dore Dauer™ ⇔ duration dar da …   *durah*  dreh2ra ← d'Aera ☾☾☾ 30 ☽☽☽ / or dor {dore} /  ← 1752| a revolution of time, i.e. an age or generation| dwelling: age, X evermore, generation, (n-)ever, posterity. / 
𓎝 𓎛 𓇋 𓇋 𓏏 𓆰||corn|khairi ~ grai' ⇔ caries?  / ~crown ➙ corn 
𓎟 𓏏 𓉐 𓏤||wife|Alte@Altar  / -
𓎡||schinden OK old cup = Tasse / pun|senken / sengen / ←shanken schinken schinbein? / httpn.wiktionary.org/wiki/Appendix:ar|(n enclitic partguard/gator.) so, then|ca:co:so 
𓎡 𓄿||fumigate (patient) |care  calm
𓎡 𓄿 𓀁||think about, plan|care  thai.ma thema
𓎡 𓄿 𓂋 𓉯||shrine|charine 
𓎡 𓄿 𓅓 𓅱 𓉐||vineyard, orchard| [or]chard ~~ charmun <> charine ?
𓎡 𓄿 𓅱|carun|GREEN/GRÜN| carun   other root: gwyrdd@cym 
𓎡 𓂋 𓊪 𓂷 𓂡|scrape|scrape out (inscription)|scrape <>graph  sc<>sycomore
𓎡 𓄿 𓇋||boat (of Nubian type)  H|qarib : boat Per qareb  / ⇔ σκάφος shipper σχεδία πλοίο~Floß βάρκα:barke ferry φέριμποτ pot boat / ⇔ κρουαζιέρα cruise σαλτσιέρα salz? gravy boat υπερωκεάνιο hyper-oceanio=liner / ⇔ sailboat n (AmE) ιστιοπλοϊκό  <>
𓎡 𓄿 𓊪 𓄿 𓊪 𓇮||cover|COVER  EN/DE/SEM / חפז châpha <>
𓎡 𓄿 𓊪 𓏏 𓆳||covers|copheth  <> Kappen
𓎡 𓄿 𓊪 𓐡 𓉐||hut, hide (of fowler)|cover/cap/khaot : hut, hide  
𓎡 𓄿 𓈙 𓈉||(locality) Kush|
𓎡 𓆑 𓍘 𓅱 𓈉||(locality) Crete |Koufonisi (island) ⇔ Phoenitia  / KFTW 'Keftiu' ➙ gift (snake) / schenk? csntu⇔Centaur / KSNtw XENO Gnostiker KNOSSos? al eXander? ... ➙ QED: Kassandra? ←-- / Caphtor @ Bible ~ Copt: 'divisions of Mizraim (Egypt)' living by the Nile ƒ/2 ➙ capture QED / Kaptara in texts from the Syrian city of Mari dating from theth century BC
𓎡 𓄿 𓏏 𓀁|cart|plan, thought, device, plot|Karte,chart,... thaat ⇔ thought  
𓎡 𓅱 𓏏 𓏝||shout of acclaim|chout ⇔ shout : gut ←  / ~klatschen
𓎡 𓆑 𓂝 𓈉||make captures|caphtar = capture  EN QED
𓎡 𓆑 𓂝 𓅱||warrior|Kapthar / Kämpfer / captain 
𓎡 𓆑 𓂝 𓂡||make captures| kepha <> capture 
𓎡 𓆑 𓂡||uncover, unclothe, doff (clothes), strip, deprive, despoil| 1/cover chasaph@hebrew 
𓎡 𓆑 𓄿 𓂐||flow forth|give gush << kippa kippen cobe'@hebrew 
𓎡 𓇋 𓀁|kyrie|cry out| ge khey call cry kir kyrie << 
𓎡 𓇋 𓇋 𓂧 𓆓|cetera|otherwise said|que dschat ƒalsch rum ? / kitsch ?
𓎡 𓇋 𓇋|cetera|(masc.) OTHER, another|*kft ⇔ / ky ⇔ kyth ⇔ kushites kassites kaspian kas* / another, other ~ آخر oñher  
𓎡 𓇋 𓇋 𓃷|(mon)key|monkey|key : Qooph ⇔ Gibbon ⇔ Chimp / comeon-key 
𓎡 𓇋 𓇋 𓏏||shout of acclaim|kyt ⇔ great Gut / crit ➙ klatsch / ⇔ critic 
𓎡 𓈓||covers the sky| cupers𓈓 
𓎡 𓉔 𓄿 𓏝||raise (the voice)|chor 'khoair'  ⇔ cry kräh crow ⇔ quer quaken
𓎡 𓊃 𓄇||pose|kaspar  / cupose - / ⇔
𓎡 𓋴 𓅱 𓀘||bowings|Xun ξον ksun ⇔ *kzenit τόξον = bow ⇔ ξsan 三 sān 3 ?  ←  xeno / kuschen / cuspis ⇔ (“a point, spear") ➙ Kehrpunkt ⇔ kreis apex / ⇔
𓎡 𓎛 𓎡 𓎛 𓏏 𓀁||hacking (of cough)|ONO / ~cough   / köch-köch /
𓎡𓂠||Henkel|~Shank:
𓎤 𓂋 𓅱 𓎤 𓈓||linen bags|Korb  b←w 
𓎸||Vitz : Wizzard / Witz (V wegen Fässer)|__deeds? / ⇔ bythan byzans ? / bizzar / ←,  ??
𓎸 𓀀 𓏥||citizens, dependants, married couple ?|kin 
𓎸 𓅓 𓏏 𓈙||well, cistern|kantine  / kent ⇔ tenk @ AFR cunt.inü
𓎸 𓏲 𓀀 𓏥 𓁐||citizens, dependants, married couple|kin / ~kanntel? / bekannte
𓎼||spurt   DE|
𓎼 𓂋 𓀁||silence|Grim & Gram DE / Groll / ϱro➙ ruh ⇔ DE/EN2/EN3/EN4/SEM / qarar @ SEM ← / güài' quiet 
𓎼 𓂋 𓎛 𓂢 𓏛||end, cessation|~grind / grend➙end / ⇔ grein,gram
𓎼 𓄿 𓎼||cackle  G|gaga: gacker  DE
𓎼 𓄿 𓏏||dues, tribute|guard EN
𓎼 𓆑 𓄛||long - tailed monkey|Gaphn : gaboon Gaffer ~ gibbon 
𓎼 𓈖 𓎛 𓋴 𓅱||hawk|genharshen / gymharsun / thenhar OK : xeno 
𓎼 𓈖 𓏌 𓅱 𓏏 𓌟 𓌟 𓌟 𓏛 𓏛 𓏛||records, annals|Generations 
𓎼 𓋴 𓐟 𓄿 𓊊||tilt, favour (someone with)|sklápět - / ~Geschenk -- مفضّل mphbdl / mhyl ... / crossbar QED ➙ tilt EN  / ⇔ VS even / ⇔
𓎼 𓋴 𓐟 𓄿 𓊊||tilt, favour (someone with)|crossbar QED ➙ tilt EN  / ⇔ VS even / gsbau
𓎼 𓍯 𓄿 𓇋 𓇋 𓏳 𓏯 𓁶||strangle - hold|⇔ Gurgel / gargrowth gar-gher-owth' Gurgel ← / ←fem.←- /  the throat (as used in rumination): neck. / ⇔
𓎼 𓎛 𓋴 𓂾 𓄛||gazelle|Gahsel gazelle QED IN
𓎼 𓎼 𓅱 𓏮 𓁻||stare|gucken DE / äu'en
𓎼 𓏏 𓎛 𓀉||be tired|? tiher: tired  EN ⇔ sit
𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃𓏃|||
𓏅 𓈖 𓍘 𓇋 𓄣||be glad of heart, outstanding of mind|frohnti frantic?  ENDE / chanti
𓏅 𓈖 𓏏 𓎨 𓄤 𓈉||(locality) Nubia|frontier : front-terr  ⇔ front.TIER = border / Front-Kant-Gutland / Punt-Kant-Gut / Pant-Hermes-Gott
𓏇 𓇋 𓂝 𓏏 𓉐||loom ?|laeotor Leuchter  (Lichtschimmer) / Mi-ort
𓏇 𓇋 𓇋 𓏏 𓄛||cat|Miet.thier / Mietzer / Lit ?
𓏇 𓇋 𓋴 𓏏 𓄹 𓏤||liver|Milz milt  DE/EN  / = melt spleen / laist-bein / Leisten-bein
