Glyphs	Convention	Transcribed	Meanings	Connection	√√	Akkadian
𒂼𒀀𒀀	ama-a-a	ama'aya	grandmother 	Oma		
𒂼	ama	ama	mother	Amme mama		#ummu 
𒂼𒃲	ama-gal	amagal	grandmother; a priestess 	Oma!		
𒂼𒄖𒆷	ama-gu-la	amagula	grandmother 	Oma grande		
𒂼𒀀𒌅;𒂼𒌅	ama-a-tud;ama-tu	ama'atud	house-born slave	<<<	<<<	#dušmû;wardu 
𒂼𒃶	ama-gan	amagan	breeding female animal; child-bearing mother	mammal gyne		#ummu walittu 
𒂼𒀀𒅆𒊏	ama-er₂ra	ama'eraⁿ	mourner	≈mourner		#ama'irrû 
𒂼𒂟𒈾	ama-erin₂na	ama'erin	workers	mariner?		#ummānātu 
𒈻;𒀀𒈹𒁲;𒍝𒈹𒁲	amagi;amagi₂;amagi₃	amagi	frost, ice	hrím härmä hoar.ma	<?	#halpû;mammû;šurīpu 
𒀭𒂼𒀭𒈹	d ama- d inana	ama'inanak	goddess 			
𒉽𒉽	aman	aman	maltster	𒉽 pa₄ √pulp brewer		
𒀫	amar	amar	calf; young, youngster, chick; son, descendant	@ Oma ?		#būru;māru 
𒀫𒂵	amar-ga	amarga	suckling calf 	zuigeling ≠ galac <> грудно́й grudnój ?		
𒀫𒂵𒋻	amar-ga-kud	amargakud	weaned calf 	•ᵃbur.galakud απογαλακτίζω apogalaktízo		
𒂼𒅈𒄄;𒂼𒄄	ama-ar-gi₄;ama-gi₄  |GA₂×AN |. IGI.RI .GI₄	amargi	reversion to a previous state	/ ?		#anduraāru ≈ undo
𒀫𒌑𒆠𒋧𒂵	amar-gud₃  AMAR.|U₂.KI.SUM.GA|	amargud	fledgling	/ ?		#? 
𒀫𒋻	amar-kud	amarkud	castrated (animals, men) 	ամորձատել amorjatel! … cuts caster		
𒀫𒊕	amar-saĝ	amarsaĝ	chick	chick ≈ ceĝ saĝ ceĝhal cephal		
𒀀𒈠𒊒;𒀀𒈠𒂗;𒂊𒈠𒊒	a-ma-ru;a-ma-ru₁₂;e-ma-ru	amaru	flood; emergency 	𓈗 mar		
𒁦;𒂍𒈦;𒀀𒈦;𒂍𒁦	amaš;e₂maš;a-maš;e₂ amaš	amaš	sheepfold	homes?		#supūru 
𒂼𒋳	ama-tuku₅	amatuku	senior weaver 	Oma Tuch… 𓌦 𓏏 𓐍 𓏴 𓀜  		
𒆹;𒇷𒁇	ambar;en₃-bar	ambar	reed-bed, marsh	<<<<<<<<<<<<<<<<<<<<<<<<<<		#appāru 
𒄠𒊏;𒄠𒊒;𒄑𒈣𒊏	am-ra;am-ru;amra	amru	beam, timber	ᶿam-ru ~ timber =		#amrû 
𒄠𒋛	am-si	amsi	elephant	ሓርማዝ ḥarmazᶥ <<<<  किसी kisī (𒄠 kud/kir)  limanˢ ?		#pīru 
𒄠𒋛𒄯𒊏𒀭	am-si-har-ra-an	amsiharran	camel	амахҽ amaxĉ!! ^^		#ibilu 
𒄠𒋛𒆳𒊏	am-si-kur-ra	amsikurak	camel	𒄠𒋛 Gamsel > 𒃵𒂷 gammal > camel !! ( rare hardening / chamois)		#ibilu 
𒀀𒄷𒄭𒀀𒋧𒆠	a-mud-a-se₃-ke	amudaseke	dropsy 	µwatersickness water-seeking wætersēocnes 	<<	
𒀇;𒀀𒈲	amuš;a-muš	amuš	? 	? context?		
𒀭	an	an	sky, heaven; upper; crown (of a tree)	heaven, sHimmel		#šamû 
𒀉𒀭;𒀭	a₂an;an	an	date spadix (σπᾱ́δῑξ spā́dīx, “palm branch”)	koçan Kolben		#sissinnu 
𒀭𒈾	an-na	ana	upper 	أعلى  ʔaʕla !!!		
𒀭𒈾	an-na	ana	upper 	ἀνώτερος anṓteros		
𒀀𒈾;𒋫;𒋫𒀀	a-na;ta;ta-a	ana	what?; as much as (math.)	wen < qwen quin quanta?  𒋫𒀀 what reversed		#mīnum 
𒀀𒈾𒀸	a-na-aš	anaš	why?	whence!?		#ammatu 
𒀀𒈾𒀀𒀭	a-na-am₃	anam	what	𓅓 𓂟, 𓅓 𓂝 ምንት mənt		#mīnu 
𒀀𒈾𒈨𒀀;𒀀𒈾𒈨𒀀𒁉	a-na-me-a;a-na-me-a-bi	anamea	everything 	any.ment anything		
𒀀𒈾𒁶;𒋫𒁶	a-na-gin₇;ta-gin₇	anagin	how? 	when-again? ;)		
𒀀𒅘	a-naĝ	anaĝ	drink	dri.naĝ <> snack		#maštû 
𒀭𒁀	an-ba	anba	litter, rubbish	Unrat αηδία aïdía <<<   inepties 瞎掰 xiābāi  asneira ---		#hāmū 
𒀭𒂦	an-bad₃	anbad	heaven's heights 	𒂦 Baut hospital <> Petrus 		
𒀭𒁇	an-bar	anbar	iron	barion > phiron > firon > iron  <!!!> ferroᵒⁿ burdin ⲃⲉⲛⲓⲡⲉ <<<<<<<<<< calque! 𒀭𒁇𒋤 <> 𒌓𒉣𒇻  deep connections   ☼ ☄  𒋤 𒉽𒉣 pa₄ … 		#parzillu 
𒀭𒁇𒋤	an-bar-sug₄	anbarsug	iron	ብረት bərät בַּרְזֶל barzel פרזלא parzlā  ƒairsaⁿ 𐌴𐌹𐍃𐌰𐍂𐌽	+++	#parzillu 
𒀭𒉈	an-bar₇	anbar	mid-day	an.ne ne.an noon!		#kararû;muşlālu meso'al
𒀭𒉈𒃸	an-bar₇-kar₂	anbarkar	mid-day	^^		#kararû;muşlālu 
𒀭𒁇	an-bar	anbar	side of heaven 	<<<?		
𒀭𒁕𒅅	an-da-ĝal₂	andaĝal	exalted	<> 𒃲 galore   endignified NL!		#elû;šaqû 
𒀭𒊨;𒀭𒊕	an-dul₃;an-dul₇	andul	shade	schat.en		#şulūlu @ solar
𒂊𒉈;𒀀𒉈	e-ne;a-ne	ane	he, she 	on 𓇑 ≈ 𓇓 ! 𒉈 DE ta		
𒂊𒉈𒉈;𒀀𒉈𒉈	e-ne-ne;a-ne-ne	anene	they 	𒉈 DE they 𓇑 ≈ 𓋴 𓈖 𓏥  𓇓 ! 		
𒀭𒂔	an-eden	aneden	the high steppe	hohen Eden		#şēru 

𒀭𒃲;𒀭𒋼	an-gal;an-gal₅	angal	spot, marking •dunkel	mancha > macula mark	𒀭 ≈ stain
𒀭𒂷	an-ĝa₂	anĝa	again, however 	kai	 “denn gar”
𒀭𒂵	an-ga	anga	again, moreover	and		#appūna 
𒀭𒂵𒀀𒀭	an-ga-am₃	angam	consequently 	quam anjam @ Kurdish		

𒀭𒁺𒁀	an-gub-ba	anguba	tutelary deity	"𓐍 𓂤 cover ""protect"" <> Khufu"	<<	#angubbû angel???
𒀭𒈪	an-ĝi₆	anĝi	eclipse 	negir ≈ night ग्रहण grahaṇa mirrored  日食 rìshí		
𒀀𒆸	a-niĝin₂	aniĝin	reservoir 	nádrž <> nagar encoro		
𒀀𒉪;𒀀𒊺𒅕	a-nir;a-še-er	anir	lament	Weh… weine® نُوَاح nuwāḥ nářek wa-še-er wasser		#tanēhu 
𒀭𒆠	an-ki	anki	the universe, heaven and earth 	uniquei  kainat كَائِن kāʔin أكوان ʔakwān  mirrored  duniya ≈ dingir		
𒀭𒆠𒋙𒀀	an-ki-šu₂a	ankišua	the extent of heaven and earth	kišumû cosm		#sihip šamê u erşeti 
𒀭𒉺	an-pa	anpa	zenith	 apogeum buaic na spéire <<<		#elat šamê 
𒀭𒊮	an-šag₄	anšag	the interior of heaven	Himmelscenter <> Himmelszelt?		#qereb šamê 
𒀭𒊹	an-šar₂	anšar	the entirety of heaven	universe		#? 
𒀭𒈾	an-na	anna	"approval, indeed"""""	ne = yes @ greek		#annu 
𒀭𒈾	an-na	anna	tin or lead	ᴰna tina “tin” < ⲑⲣⲁⲛ ! ⇔ DINGIR dinar		#annaku 
𒀲	anše	anše	donkey; equid	onager		#imēru 
	anše-bala	anšebala	replacement donkey	𒁄 BAL <> bállō in 𒋗𒁄 μεταβάλλω metabállō ἀνθυπαλλάσσω anthupallássō αναπληρώνω anapliróno 	<<+++	#tēnû 
𒀲𒂔𒈾	anše-eden-na	anše'edenak	onager	edenakᶥ > a donkey		#serrēmu 
𒀲𒍑	anše-nita	anšenita	male equid 	/?		
𒇽𒀭𒋫	lu₂ an-ta	anta	companion, comrade	ante ander = 2nd	<<+++	#tappûm ≈ top
𒀭𒋫	an-ta	anta	upper 	ἀνώτερος anṓteros ≠ under	+++	
𒀭𒋫𒅅	an-ta-ĝal₂	antaĝal	exalted 	 נאצל ᵃnéétsal noble +		
𒄑𒀭𒋾𒁄	ĝeš an-ti-bal	antibal	sign	note		#şaddu 
𒀉𒈿𒁕;𒂍𒈿	a₂nud-da;e₂nu₂	anuda	bed chamber	@night		#? 
𒀀𒍤𒆸	a-numun₂	anumun	rush water 	•meander		
𒀀𒍣𒍣𒆸	A.|ZI&ZI.LAGAB|	ANUMUN	esparto grass 	--		
𒀉𒉣𒅅	a₂nun-ĝal₂	ᶞanunĝal	strong, mighty	𒀉 = 𒐑 𒁕 sh.da  => stranungal > strong  <> 𒆗 dannu daniš ⲇⲩⲛⲁⲧⲟⲥ δυνατός dynatós	<<<+++	#? 
𒀉𒉣𒄄𒀀;𒀀𒉣𒄄𒀀;𒀀𒉡𒄀𒀀	a₂nun-gi₄-a;a-nun-gi₄-a;a-nu-gi-a	ᶞanungia	great strength	𒀉 = 𒐑 𒁕 sh.da  => stranungal > strong  <> 𒆗 dannu daniš ⲇⲩⲛⲁⲧⲟⲥ δυνατός dynatós	<<<++	#? 
𒀭𒌫	an-ur₂	anur	horizon 	𒀭𒌫 ant.UR₂ einder 		
𒀭𒍝𒀊𒌈;𒅔𒍝𒀊𒌈	an-za-ab-tum;in-za-ab-tum	anzabtum	ring, earring	טַבַּעַת tabá'atᵘᵐ		#anşabtu 
𒀭𒍠	an-zag	anzag	horizon, border of heaven 	hori-zagne ?		
𒀭𒍝𒃼;𒀭𒃼	an-za-gar₃;an-gar₃	anzagar	(fortified) tower	guard		#dimtu 
𒊮𒄀	anzalub	anzalub	reed pith	garr core (Mark) măduvă मज्जा majjā middle		#handû 
𒀭𒉣	an-zil	anzil	abomination	Anzeichen نشان niśān 𒉣 ṣil ≈ seal in signal sign 		#anzillu 
𒀀𒉽	a-pap	apap	birth canal; clay pipe; interment, burial; funerary ceremony	a pipe		#arutu;hiršu ≈ a Rutsche
𒀳;𒄑𒀳	apin;ĝeš apin	apin	(seed) plow	apıncı <> apınmak :	<<< !?!?	#epinnu 
𒀳𒇲	apin-la₂	apinla	planter, tiller	"•apınler @ Turk ""abyar"" or ""آبیار"" "		#errēšu 
𒄱;𒀀𒄱;𒀀𒅈;𒀀𒄯	ar₂;a-ar₂;a-ar;a-ar₃	ar	(hymn of) praise; fame	Ehren		#tanittu 
𒄱;𒌸?	ar₂;arₓ(URU×A|?)	ar	ruin	a'ruin		#karmu 
𒄯	ara₃	ara	to grind	bore		#samādu 
𒎎 𒄯	na₄ ara₃	ara	hand-mill; lower grindstone	≠ अरविन्द aravinda lotus	<< specific	#erû 
𒀀𒁺	a-ra₂	ara	times (with numbers); ways; way; omen; step (math.) 	mu.du meta, bu.du ≈ 𓃀𓂾 path 𓊗 mu.ra more mal murga 𓈘 𓈐 𒈱𒋞	<<∞	
𒀀𒁺	a-ra₂	ara	designation of oil 	/ <>		
𒄯	ara₃	ara	designation of milk 	/ ^^		
𒂁𒀀𒊏𒀊	dug a-ra-ab	arab	brewing vessel	/		#nēlebu 
𒀵;𒀴;𒄯𒌅;𒂊𒉘	arad₂;arad;ar₃-tu;e-re	arad	slave, servant	ward, Arbeiter		#ardu 
𒂍𒍑𒁍𒁕;GA₂×ŠE;𒍑𒁍𒁕	arah₄;arah₃;arahₓ(UŠ.BU.DA)	arah	storehouse, granary, storeroom; storage vessel	a'room		#arahhu;našpaku 
𒀀𒊏𒄭	a-ra-hi	arahi	musical instrument 	∞		
𒀀𒁺𒃻;𒀀𒊏𒃸	a-ra₂ĝar;a-ra-kar₂	arakar	factor, coefficient (math) 	𓂋 reciproke		
𒀀𒊏𒇷;𒂍𒆳𒈪;𒌽	a-ra-li;arali;araliₓ(URU×GAL)	arali	earth, land; underworld	erş via 𒇷 (ŠE 𒊺)  => earth-lands		#erşetu 
𒂁𒀀𒊏𒈝	dug a-ra-num₂	aranum	cashbox?	?		#arānu? 
𒊩𒆳𒄯𒄯;𒇽𒄯𒄯;𒊩𒆳𒄯;𒇽𒄯	geme₂ ar₃-ar₃;lu₂ ar₃-ar₃;geme₂ ara₃;lu₂ ara₃	ᵐarar	miller	Meyer *merw- mürbe, morsch		#ararru;ţē'inum 
𒇶	aratta	ᵇaratta	heavy; important; praise, glory	bary very baryˢ praise		#kabtu;tanattu 
𒀀𒊏𒍪;𒁺𒍪;𒊏𒍪	a-ra-zu;ra₂zu;ra-zu	ᵖarazu	supplication 	про́сьба prósʹba pray ϣⲱⲧ 𓂋 𓐍 𓏜 recon <> arazu 		
𒃣;𒉦;𒀉𒌉;𒀉𒊩	arhuš;arhuš₂;arhuš₅;arhuš₆	arhuš	membrane; afterbirth; womb; compassion	ᵖarhuš pores   arhushtari (membrane) arhjo (afterbirth) arhikë (womb) - Albanian	<< H? hallucination?	#ipu;rîmu 
𒀀𒊑𒀀	a-ri-a	aria	steppe	ʰa-ri-bu₄ #harbu		#harbu;namû 
𒄱𒄯𒊏	ar₂mur-ra	armura	ruins	<<< morbid mürbe morast mural Mauern		#? 
𒄱𒉘	ar₂re	arre	jest, mockery	irre;)		#namūtum 
𒀀𒊒𒀀	a-ru-a	arua	votive offering 	wildcard :(		
𒀀𒊒𒌒;𒀀𒊒𒌒𒁀	a-ru-ub;a-ru-ub-ba	ᵗaruba	pitfall, trap	trap (why)		#nahallu 
𒂁𒀀𒊒𒌈	dug a-ru-tum	ᶠarutum	(clay) pipe	frauta ≈ φλάουτο flute boru.tum  toru труба́ trubá > tube reverse		#arūtu 
𒅈𒍝𒈾	ᵍar-za-na	ᵍarzana	groats	Grützen		#arsānu 
𒄑𒀷;𒀀𒌅𒉣𒉣;𒀷𒀀;𒀀𒌅;𒀀𒌅𒃮𒋝𒃻	ĝeš asal₂;ĝeš asalₓ(A.TU.NUN&NUN);ĝeš asalₓ(ASAL₂ ~a);ĝeš asalₓ(A.TU);ĝeš asalₓ(A.TU.GABA.SIG.GAR)	asal	poplar	"Esche 𓇋 𓈙 𓆭 ≈  𓋴 𓆭 
"		#şarbatu 
𒋢𒀉𒋛;𒍏𒀉𒋛;𒋢𒀀𒋛	kuš a₂si;urud a₂si;kuš a-si	asi	whip; hinge; strap 	Öse		
𒀉𒉺	a₂sig₃	asig	slingstone	sig₃ ≈ sling σφενδόνη sphendónē		#assukku 
𒀀𒋧𒂵	a-sig₁₀-ga	asiga	? 	?		
𒀀𒋡𒃻𒊏	a-sila₃-ĝar-ra	asilaĝara	afterbirth 	aghter χόριον khórion > سلة خَلَاص sla-ḵalāṣ		
𒂰	asilal	ᵇasilal	to move away, withdraw; to stay away; far away, distant	𒂡𒇳 beith.lal αποσύρομαι aposýromai	<	#duppuru;nasû 
𒂰;𒂰𒇲;𒂢𒇲;𒂢;𒋝𒉌;𒋡;𒂬;𒂡𒇲;𒂡𒉌	asila;asil-la₂;asil₃-la₂;asila₃;si₁₁-le₂;sila;asilaₓ(EZEN×KASKAL);asilₓ(EZEN)-la₂;asilₓ(EZEN)-le₂	asilala	joy; to rejoice; decorative fancy work	𒂡𒇳 ^^ withdraw <> leisure(time)		#ašilalû;ebēru;riāšu;rīšātu 
𒂰;𒂰𒇲;𒂢𒇲;𒂢;𒋝𒉌;𒋡;𒂬;𒂡𒇲;𒂡𒉌	asila;asil-la₂;asil₃-la₂;asila₃;si₁₁-le₂;sila;asilaₓ(EZEN×KASKAL);asilₓ(EZEN)-la₂;asilₓ(EZEN)-le₂	asilala	joy; to rejoice; decorative fancy work	𒂡𒇳سُرُورa'surūr  sila si₁₁-le₂ silly	<<	
𒀀𒋛𒊑	a-si-ri	asiri	prisoner of war	Asyrer busirin ≈ prisoner 𓋴 𓐓 𓌇 𓋹 Syrianᵏ   <> 𓋫 𓍿 𓏏 𓈉 | Asiatics | 		#asiru 
𒄑𒍞𒈝	ĝeš ᵐas₄-lum	ᵐaslum	measuring rod 	ᵐaslum		
𒊍𒄣𒁉𒌈	as-qum-bi-tum	asqumbitum	hump	"AZ.GUZ.bi.tum կուզ kuz কুঁজ kũz კუზი ḳuzi kasa •bottia bot bozza boccia *buttia buttis bosse  буго́р ""bump"" Buckel καμπούρα kampoúra camel-hump"		#asqubbītu 
𒀉𒋦;𒀉𒈰	a₂sumur₂;a₂sumur₃	asumur	canopy 	sym~canopy ?		
𒀀𒁔𒈾	a-sun₅-na	asuna	? 	?		
𒀀𒋩𒊏	ʷa-sur-ra	ʷasura	water from the depths	Wasser		#mê šuri? 
𒀾	aš₂	aš	curse	•caš		#arratu;şibûtu 
𒀸	aš	aš	bread; a type of flour	"عيش ʿēš հաց hacʿ ⴰⵖⵔⵓⵎ aɣ 𒀸 TA 𓏏 Teig dough 𒀸 INA ≈ nan ""bread"""		#akalu;upumtu 
𒀸	aš	aš	one	ersten ec ek ⲟⲉⲓⲕ		#išten 
𒐋	ˢaš₃	ˢaš	six 	sis  > Afroasiatic: *ḥaṣ-		
𒋠𒇴𒋦	aš₅	aš	spider	s…er < SIK2 LAM SUḪUR ≈ spider?		#ettuttu 
𒀾𒁄	aš₂	aš bala	bala	≈ शाप śāpaˡ spell		to curse, insult
𒀾𒊬	aš₂	aš sar	sar	•cášar 		to curse, insult
𒀀𒊮𒄷	a-šag₄ mušen	ašag	butterfly?	bušag <> ψυχή psukhḗ		#kurmittu ≈ moth
𒀀𒊮;𒃷;𒀀𒊮𒃷	a-šag₄;ašag;a-šag₄ ašag	ašag	field; surface (math.)	mûšag •masak መስክ mäsk sadg 𒆳 šadû سَطْح saṭḥ səth ፂዖት ṣ́iʿot sḫt šꜣt site set  suprafață superficia surface jꜣdt		#eqlu 
𒀀𒊭𒂵𒋛	a-ša-ga-si	ašagasi	dropsy	Wassersucht 		#mala mê 
𒀀𒊭𒀭𒃼	a-ša-an-gar₃	ašangar	deception	… ding'gar ≈  دھوکا  धोखा dhokhā   sangar ≠> 사기 sagi®		#tašgertu 
¿ erst	ašarid	ašarid	foremost 	erst		
𒀉𒊺	a₂še	aše	now	it.so jetzt		#anumma 
𒀿	ašgab	ašgab	leatherworker	"•šabag الصباغ al-ṣabbāgh  𒀸𒅗𒁍 	aša-ka-pu •ša'gabᵉʳ ≈ ցերեկավոր tserkavor"		#aškāpu 
𒃲𒀿	ašgabgalₓ(GAL.AŠGAB)	ašgabgal	chief leatherworker 	^^		
𒊩𒀾𒃼;𒀾𒃼	munus aš₂gar₃;aš₂gar₃	ašgar	female kid	uşaqᵃʳ فتاة صغيرة fatat saghira !		#unīqu 
𒀉𒌋𒆤;𒀉𒋗𒌌𒀀;𒀉𒋗𒌌	a₂šita₄;a₂šu-du₇-a;a₂šu-du₇	ašita	equipment	suite		#takaltu 
𒌑𒍤𒆸;𒌑𒍣𒍣;𒌑𒀀𒍣𒍣;𒌑𒍣𒍣𒀀;𒌑𒍣𒍣𒂠𒊺	u₂ aški;u₂ |ZI&ZI|;u₂ |A.ZI&ZI|;u₂ |ZI&ZI.A|;u₂ |ZI&ZI.EŠ₂ .ŠE|	ʳaški	rushes	ʳaški rushes vs ᵇaški bushes		#urbatu 
𒀾𒈹;𒀾𒈽	aškud₂;aškud	aškud	extremities; elbows; horns	ᐁᑯᓯᒃ ekosik ᐃᑯᓯᒃ ikosik عكس ʕekes		#aškuttu 
𒂍𒍑𒁍𒁕	ašlug	ašlug	storehouse 	HausLager		
𒂍𒍑𒁍𒁕	ašlug(E₂ .UŠ.BU.DA)	ašlug	storeroom	HausLager		#ašlukkatu 
𒀸𒈨;𒀸𒈨𒌓𒊕𒁇	aš-me;aš-me zabar	ašme	radiance; sun-disk ornament	shine сияние sijanie 闪耀 shǎnyào		#barīru;šamšatu 
𒊺;𒊺𒌁	ašnan;ašnan₂	ašnan	grain, cereals	𒀸𒀸 aš.INA  𒊺 •zehn 		#ašnan 
𒊺	ašnan	ašnan	mole	sinal شَامَة šāma √shame སྨེ་བ sme ba siamp smotyn Schandfleck (mole)		#pendû 
𒀸𒊒	aš-ru	ašru	shivering	ašᵛru shiver		#šuruppû 
𒃰𒋺	ašša₂	ašša	lamentation; clamor, uproar, voice, cry, noise	accail <> cry <>		#ikkillu;rigmu 
𒀸𒁺;𒀸𒊭	aš-ša₄;aš-ša	ašša	perfect	tadu / tota …		#gitmalu? 
𒆹;𒄑𒀸𒋼;𒄑𒅖𒉈	ašte₂;ĝeš aš-te;ĝeš iš-de₃	ašte	chair, throne; seat, dwelling; shrine, chapel; a unit of area	ašte₂ šate₂ seat		#kussû;sukku;šubtu 
𒀉𒌋𒆤	ašte	ašte	tip of an animal's horn	<> Ast?		#sappartu 
𒀉𒋗𒌌	a₂šu-du₇	ašudu	resources 	संसाधन sansādhan संसाधन saṃsādhana		
𒀉𒋗𒄊	a₂šu-ĝiri₃	ašuĝiri	limbs	ასო aso{gir}  aʼzo  uzuv әгъза äğza jäse კიდური ḳiduri Glied גַּף		#mešretu 
𒀉𒋗𒄊𒋻	a₂šu-ĝiri₃-kud	ašuĝirikud	cripple	კიდური ḳiduri 		#kuşşudu 
𒀉𒈭	a₂tah	atah	helper	aide		#rīşu 
𒀀𒋻	a-tar	atar	derision	KAD.TAR <> ఎగతాళి egatāḷi  TAR.A… dērīsiō (Hohn Spott   )		#namūtu  name-calling
𒀀𒌅	a-tu	atu	doorkeeper?; a priest or cultic functionary 	ward a'guard		
𒀀𒋗𒉀𒀀	a-tu₅-a	atua	lustration rite	"𒉀 hilib₂ ""Leibesheil""  <> 𒀐 unugi rites"	<	#rimku 
𒀉𒌇	a₂tuku	atuku	powerful, able-bodied	tüchtig ≈ күчтүү küçtüü 𐌼𐌰𐌷𐍄𐌴𐌹𐌲𐍃 matuku		#igigallu;lē'û 力 
𒀀𒉺𒄐𒉻𒋛𒀀	au	a'u	towman of a boat	A PA GISAL PAD SI A > apgi'l'osio  #āgilu 		#āgilu 
𒀀𒅇𒀀;𒀀𒄷𒋛𒀀	a-u₃-a;a-u₅-a	a'u'a	ferryman 	veerman (𒀀 mû mein ≈ man ) מַעְבּוֹרַאי ma'aborai		
𒀀𒌑;𒀀𒅇;𒀀𒄷𒋛;𒅇;𒄷𒋛	a-u₂;a-u₃;a-u₅;u₃;u₅	a'u	high water 	over ≠ Ebbe  hyper ≈ hygh hoch(wasser)		
𒀀𒅇𒀀;𒀀𒅇𒀀𒀭𒈠	a-u₃-a;a-u₃-am₃-ma	a'u'a	soothing expression 	aua, au-mama ;)		
𒀉𒌓𒋼𒈪𒁀	a₂ud-te-gi₆-ba	a'udteĝiba	time 	{tum}te-mi-ba ≈ time		
𒀉𒌫	a₂ur₂	a'ur	hidden place; armpit	𒌫 ≈ 𒋞 path in 𒀉𒌫 armpit		#puzru 
𒀉𒌫	a₂ur₂	a'ur	limbs	𒌫 ≈ 𒈝 lum in 𒀉𒌫 limbs		#mešrêtu 
𒀉𒌫𒆪	a₂ur₂	aᵛur ku	dab₅	kuaᵛur ≈ cover		to hide
𒀀𒀀;𒀀;𒀀𒐊	a-a;aya₂;a-ia	aya	father	abba, baba		#abu 
𒆹	aya₄	aya	marshland	"""jelma,"" which means ""swamp"" or ""marsh."" "		#išiktu 
𒆹	aya₄	aya	to surround? 	<> Weiher		
𒀀𒀀𒈝	aya-lum	ayalum	stag, deer	𒀉𒇻𒅆 a₂.lu.lim alulim  Ἄλωρος 'stag'   ll->y		#ayyalu 
𒀀𒅈𒌈	aya₂ar-tum	ayartum	cowrie?, coral?	"𒀀𒅈𒌈 mu.ar{tum} մարջան marǰan مَرْجَان marjān 𓈗 ""coral"""		#ayartu 
𒀀𒀀𒀀;𒀀	ayayaₓ(A.A.A);A	ayaya	grandfather 	yeye 爷爷 𒀀 Opa Abe		
𒊍;𒄑𒊍	az;ĝeš az	az	bear; ~ figurine	•ursu		#asu 
𒄑𒊍;𒄑𒋆𒊍	ĝeš az;ĝeš šim az	az	myrtle	šim•ursul > (s)myrtle אָסָא ʾāsā آس ʔās myrtle 		#asu 
𒀀𒍝𒀜	a-za-ad	azad	head 	𒀀 •HA in 𒀀𒍝𒀜 ha.a.ad head < Haupt < cept 𒍝𒀀𒀜 capital		
𒋺;𒀀𒇉𒋙	azad₂;azadₓ(A.LAGAB×HAL.ŠU₂ )	azaˡd	reed shelter	a shelter		#ašāšu 
𒆬𒀭	azag	azag	taboo, forbidden thing	unsag…		#asakku 
𒀀𒉌	a-zal	ᵗazal	pelvis 	таз taz  მენჯი menǯi 𒀀𒉌 mu.ni.zal  𒀀𒉌 aqua.ni אַגָּן agán		⚠️
𒀉𒍣	a₂zig₃	azig	violence	assig;) 𒀉 violen > Ellen ?  βία bía <> brachio force		#şenu ≈ हिंसा hinsā
𒌆;𒄑𒌆𒉿𒋼𒀀𒁺;𒇽𒌆;𒇽𒌆𒌓;𒇽𒄑𒌆𒉿𒋼𒀀;𒇽𒄑𒌆𒉿𒋼𒀀𒁺;𒇽𒈐	azlag₂;azlag₃;lu₂ azlag₂;lu₂ azlag;lu₂ azlag₅;lu₂ azlag₃;lu₂ azlag₇;	azlag	fuller (Walker, Textilpresser)	𒌆⋍𒉇 TUG  Tuch, textile 𒋳 TUKU 𓌦 𓏏 𓐍 𓏴 𓀜 tkać tecer ткае tkae texō  𓌦 𓏏 𓐍 𓏴 𓀜 tagler > tailleur ≈ tailor  tālea 𓄜 𓄛 !	<<<!!!	#ašlāku 
𒄑𒌆𒉿𒋼𒀀𒁺;𒇽𒌆;𒇽𒌆𒌓;𒇽𒄑𒌆𒉿𒋼𒀀;𒇽𒄑𒌆𒉿𒋼𒀀𒁺;𒇽𒈐	azlag₂;azlag₃;lu₂ azlag₂;lu₂ azlag;lu₂ azlag₅;lu₂ azlag₃;lu₂ azlag₇;	azlag	fuller (Walker, Textilpresser)	𒉿𒋼𒀀 PI-TE-A < huphántria	<<!!	
𒄑𒌆𒋼𒀀𒁺;𒇽𒄑𒌆𒋼𒀀𒁺	azlag₄;lu₂ azlag₄	azlag	fuller (Walker, Textilpresser)	𓌧 𓏏 𓏏 𓁷 𓏤 𒋼𒀀𒁺 TE-A-DU 	<+++	
𒃲𒄑𒌆𒋼𒀀𒁺	azlaggalₓ(GAL.GIŠ.TUG₂ .TE.A.DU)	azlaggal	chief fuller 	^^		
𒀀𒍪;𒀀𒍫;𒉙	a-zu;a-zu₅;azu	azu	doctor	Arzt		#asû 
𒀀𒍪𒃲;𒉙𒃲	a-zu-gal;azu-gal	azugal	chief doctor 	"𒃲 GAL гла́вный glavar 𓅨 𓂋 𓀂 सरदार sardār ""chief"" 𓊃 𓇋 𓀀 शिरस् śíras ""sir"""		
𒁀	ba	ba	to divide into shares, share, halve; to allot	part		#qiāšu;zâzu cut, scissor
𒌍;𒈦	ba₃;ba₇	ba	half; thirty	bi²part 		#bāmtu;mišlu;šalāšā 
𒍥𒁀𒁀	zid₂ ba-ba	baba	porridge 	par.zid₂ ≈  porridge 		
𒁀𒁀𒀀	ba-ba-ya₁₀	babaya	old man	paleo		#paršumu 
𒌓𒌓;𒌓	babbar₂;babbar	babbar	white	bar.utu bright		#peşû 
𒆠𒆗	bad₄	bad	hard ground	(Stein) Bett		#apītu;dannatu 
𒄑𒁁	ĝeš bad	bad	leg or foot of a piece of furniture	pod	++++	#kablu 
𒁁;𒁀;𒁉	bad;ba;be₂	bad	remote; to open, undo; to thresh grain with a threshing sledge	√part 𓄋 𓊪 𓏲 𓏏 𓏴	+++	#be'ēšû;nesû;petû 
𒂦	bad₃	bad	wall, fortification	Baut, bath		#dūru 
