№	English					
23	two	𓉻 𓂝 𓅱𓏮 𓉿 𓉿 𓂋 𓏮 𓇋𓇋𓆱		the two leaves of the door		
23	two	𓉿 𓉿 𓂋 𓏤		the two leaves of the door		
23	two	𓊃𓊪𓊗		 times, twice	zoi ⇔ zwei tzoimes	
23	two	𓋞 𓏮 𓅱𓈓		gold two - thirds fine ?		
23	two	𓋴𓈖𓏮		 they two, them two	sem / them	
23	two	𓌢 𓈖𓏌𓏲 𓏮		two		
23	two	𓌢 𓏌𓏮		two		
23	two	𓍿𓈖𓏮		 you two, your	thine	
23	two	𓎛 𓆰 𓈖𓏏𓍘 𓇋𓏝		the two sides , the two ends , continually, eternity,	hend.time / das Ende die Enden	
23	two	𓎛 𓆰 𓈖𓏏𓏮 𓈐		 the two sides , the two ends , eternity	hem.tit 1/2-time ⇔ hemi.sphere ! ➙ empty ← ++++++++++ GR/I8 / Kanten	
23	two	𓎛 𓆰 𓈖𓏏𓏮 𓎨		 the two sides , the two ends , eternity		
23	two	𓎛 𓆰 𓈖𓏏𓏮 𓎨 𓎨		the two sides/ends 		
23	two	𓎛 𓆰 𓈖𓏏𓏮 𓎨 𓎨		the two sides / ends ,		
23	two	𓎛 𓆰 𓈖𓏏𓏮 𓎨 𓎨 𓈐 𓈐		 the two sides, the two ends 	Kanten~limis~Hermis/Kirmes?	
23	two	𓎛 𓌼 𓈖𓏏𓏮 𓂻		 the two sides , the two ends , eternity	Kanten +++ ← DE	
23	two	𓎤𓃀𓅂𓊖  𓈺		Gebtu @ !  The two falcons	VS NEXT or EQUAL:	
23	two	𓎨 𓎨		 the two sides, the two ends 		
23	two	𓎨 𓏏𓏮		 the two sides , the two ends , eternity	Kanten~limis~Hermith	
23	two	𓐍 𓈖𓊃		move in two directions		
24	three	𓂎		three quarters		
24	three	𓂎		three quarters Zähnt duzent=2+vs 2*3*4 --	creῖth ⇔ treish  TC too? thr,shr,chr OK / τrεjς drein tres threein trio !! DE/EN/ES/LAT/IT +++ ← / 3 thalath = 3 @ AR / 3 shlsh / chlth @ PHO / 3 shalash Akk / трех trech @ russia / quinze = ƒƒ / pent = 5 / expect 3 / kepent = 3 ® ?? / ex-pen-ter= ter ? / expand? / vs khund Huntêhund  ! / uno 1'rd order 1 / DEka 2'rd order / CENtr3'rd order / taus 4 / pent 5	
24	three	𓏏𓂋𓅱𓆵		i-thrun yearth ← 3 three-suns threesons ➙ 4 seasons	'itera +++ ←!! / 'itera +++ ←!! / ficrwt ⇔ vyzrát @CES !! ++ again! ~ vozcl الفصل / 3333333333333333333333333333333333333333333333333333333!	
25	four	𓄲 𓇉 𓊗 𓏤 𓏤 𓏤 𓏤		go round about four times	turn-ir-ei-vier / Tournier-Eifer / turn-hier--vier	
25	four	𓆑 𓂧 𓅱𓏤 𓏤 𓏤 𓏤		four	füth~4th / sin tun / sinden / phythen 4	
25	four	𓆑 𓂧 𓏤 𓏏𓏤 𓏤 𓏤		four , quartette	qvuart qfourt	
25	four	𓆑 𓂧 𓏤 𓏤 𓏤 𓏤		four		
25	four	𓇋𓆑 𓂧 𓏏𓏥		a four, quartette	fthtr ~ vi'ert/fourtht vs 5th! pstuan	
25	four	𓉽 𓉽 𓉽 𓉽		 posts 		
25	four	𓋴𓐍 𓈖𓏏𓉽 𓏪		 posts 	sekanten?! <<++	
25	four	𓎛 𓊪𓐑 𓇋𓇋		 Hapy 		
26	five	𓆳 𓏏𓏥 𓏮 𓁷 𓅱		the five epagomenal days		
26	five	𓏥 𓏮 𓏏𓅱𓂻		five parts		
27	big	𓃀𓄲		^^ very similar on second look: ƥłδ ++ disambiguifies? no:	____	
27	big					
28	long	𓂉 𓏤 𓇋𓇋𓁟		long nosed, Beaky	lucky / bugy➙beaky	
28	long	𓄫 𓅱		long, length 	span ← !! ?	
28	long	𓄫 𓅱𓏏𓌪		long-knife	lang	
28	long	𓄫 𓅱𓏜		 long 	long	
28	long	𓋴𓎝 𓎛 𓏜	schon?	© make to endure, to last, make stay , lengthen , last long	se reaha ⇔ reach 'roady' / se waither -- / ~secure / schonen / store<>dure ++	
28	long	𓆑 𓈖𓂧 𓇋𓇋𓂉		Beaky, long - nosed		
28	long	𓇋𓍯 𓄿 𓃒		ox, long-horned cattle		
28	long	𓇥 𓂋 𓂝 𓏤		 long ago		
28	long	𓈐		far , long ago, for a long time past, go		
28	long	𓈖𓎼		long horn bull  G	Neger-_	
28	long	𓈖𓎼 𓅱		long horn bull		
28	long	𓋴𓍯 𓄿 𓎛 𓎝 𓏜		© make to endure, to last, make stay , lengthen , last long	s®oäher / schonen / ⇔schonen? / ⇔Chronos ?	
28	long	𓋴𓎝 𓎛 𓏜		© make to endure, to last, make stay , lengthen , last long	se reaha ⇔ reach 'roady' / se waither -- / ~secure / schonen	
28	long	𓋴𓎝 𓏜		© make to endure, to last, make stay , lengthen , last long	schonen / ← ? -	
28	long	𓍯 𓄿 𓀜		far , long ago, for a long time past, go	roa' rachowq@SEM ++ / roga ➙ go! / gero ➙ hiero	
28	long	𓍯 𓄿 𓈐		far , long ago, for a long time past, go	rachiyq / rachowq @HEB ++ 'roady' / ruku rikhqa rahuqo distance, far / reach'ing / rad ready / raqa@Assyr escape vs throw ⇔ Rache ⇔ Schreck!?	
28	long	𓍯 𓈐		far , long ago, for a long time past, go	ro-pass / hiero-pass / yearo-passed! / ⇔ / Europa!?!	
28	long	𓎝 𓎛 𓏜		live long, endure, be patient	wait	
28	long	𓎼 𓆑 𓄛		long - tailed monkey	Gaphn : gaboon Gaffer ~ gibbon +++	
29	wide	𓅱𓋴𓐍 𓎸 𓏛		broad, wide, extensive , breadth	------------	
29	wide	𓋴𓅱𓋴𓐍 𓎸 𓏛		© widen, make wide, make spacious, extend 	shuzokhet / shusokhen / shurokij широкий	
29	wide	𓋴𓅱𓊃𓐍 𓌤		© widen, make wide, make spacious, extend 	 shuzokhe <> skopos?	
30	thick	𓃀 𓅡 𓄿 𓎼 𓈗		thick 		
30	thick	𓅱𓂸 𓏏𓋳 𓏥		thick cloth	Lumpen Tuch- / umHang - / unpen=dick	
30	thick	𓅱𓂸 𓏏𓏛	phat™	thick	___ ← ?? / mPhat ➙ fat / mPhan' ➙ ~umfang? - / mHand ➙ ~umfang? / un-pent = thick  / mast'ed ⇔ Masse ? / >>>	
30	thick	𓅱𓂸 𓏏𓍢		thick cloth		
30	thick	𓅱𓂸 𓏏𓏏𓌙 𓌙		thick wall		
30	thick	𓅱𓂸 𓏏𓏏𓊅		thick wall, thickness		
30	thick	𓅱𓂸 𓏏𓏮 𓌙 𓌙 𓉐		thick wall	masur / massen / wattun / umKannt / um-Wall µPhall ++ / wattle and daub	
30	thick	𓋴𓅱𓂸 𓏏		© make thick, make stout   CC		
30	thick	𓋴𓅱𓂸 𓏏𓏛		© make thick, make stout 		
31	heavy	𓀋 𓀜		be heavy laden 	tra'n:	
31	heavy	𓂧 𓈖𓋴𓍖 𓊌		heavy, irksome, burdensome , overburdened , weighty	δwairen__ ⇔ schwer! ++ vs DE / dense ++	
31	heavy	𓂧 𓈖𓋴𓍖 𓏜		heavy	δwairen_ ⇔ schwer! ++ vs DE / dense_ ++ EN	
31	heavy	𓅱𓂧 𓈖𓍖 𓈒 𓏥	weightens	be heavy	EN:dense ++	
31	heavy	𓅱𓂧 𓈖𓍖 𓊌		be heavy, weigh, become difficult		
31	heavy	𓅱𓂧 𓈖𓏏𓍘 𓊌		heavy block of stone		
31	heavy	𓆓 𓈖𓋴𓍘 𓏜		heavy, overburdened , weighty		
32	small	𓀔 𓏥 𓈖𓂣	niño?	 small children ?		
32	small	𓅪		ƒ little / small  -vål	ƒƒƒ ?	
32	small	𓅱𓋴		crack, chink, small window	aus...blick? / muß / mug ?? ← / fens	
32	small	𓈖𓆓 𓋴𓅪		little / small , dim , dull , poor ,   -vål		
32	small	𓈖𓐍 𓅪		youthful, small ?, brief ?   -vål	new-ful / νεανίας youth neo.niñas ! +++ GR/I18N / neck-full ⇔ Necken / NAUx ~new? neo:	
32	small	𓈙 𓂋 𓂋 𓅪  𓀀		small, lowly man   -vål		
32	small	𓈙 𓂋 𓇋𓅪  𓀀		small, lowly man   -vål		
32	small	𓋺 𓏏𓏤 𓇳 𓏤		Sunshade, type of small temple		
32	small	𓋾 𓅱𓏏𓃙		small cattle, goats, herds		
32	small	𓌙 𓅱𓏏𓃒 𓏥		small cattle, sheep, goats	antler	
32	small	𓌙 𓏲 𓏏𓏯 𓏥		small cattle, sheep, goats		
32	small	𓌙 𓏲 𓏏𓏯 𓏥		small cattle	antler?	
32	small	𓎡 𓏏𓏏𓅪		small, trifling, a trifle   -vål	cute	
33	short	𓅪		 little, meagre, younger, junior, short -vål	voll vs ___ :	
33	short	𓅱𓐍 𓆼 𓄿		short of unk-Tauer		
33	short	𓇬 𓈋 𓃒 𓏥		short - horned cattle	Senketter	
33	short	𓇬 𓏌𓈋 𓃒 𓏥		short horned cattle	San.urtal.rinder	
33	short	𓈋 𓏲 𓃒 𓏥		short horned cattle	_talen	
33	short	𓈙 𓂋 𓂋 𓅪		 little, meagre, younger, junior, short   -vål		
33	short	𓋴𓏏𓎡 𓈖𓂻		© cause to approach, induct , cut short, bring on , execute 		
33	short	𓎛 𓂝 𓅪		short  -vål	khor: court/kurz! DE/FR ++ / ⇔	
33	short	𓎛 𓂝 𓅱𓂢 𓀀 𓏥		short men		
33	short	𓎛 𓅱𓂝 𓅪		short   -vål	khuor : court/kurz/short ++ vs lat: art=kurz ➙ s'art:short	
34	narrow	𓎛 𓆰 𓈖𓋴𓅪		narrow, constricted   -vål		
34	narrow	𓎼 𓄿 𓎣 𓅪		be narrow, constricted   -vål	gefahrenvoll ?	
34	narrow	𓎼 𓄿 𓐎 𓅪		be narrow, constricted, languish, lack, be lacking   -vål	__? ⇔ Kercer Karcer	
35	thin	𓅮𓈎 𓏗	flat	a flat thin cake or biscuit	flat-kuchen QED +++ ⇔ Fladen / offqusee <!> pancake	
35	thin	𓆁 𓈎 𓏗		a flat thin cake or biscuit	Pan-+++N / panqueque / pancake / PfannKuchen / Phoar-Kuchen ?	
35	thin	𓊪𓅮𓄿 𓈎 𓏏𓂂		thin part of bone in skull	^^yoch?--	
35	thin	𓊪𓈎 𓏗		a flat thin cake or biscuit	phoquzee / focus  / fanku / pfannkuchen!! WOW! / pancake	
36	woman	𓂋 𓐍 𓂺		copulate, to 'know' a woman	erekt...	
36	woman	𓂋 𓐍 𓂺 𓏛		'know' a woman	erekter	
36	woman	𓃀 𓂓 𓏏𓁑		pregnant woman	bekant > phegnant > pregnant ? / becka bekkath	
36	woman	𓅓 𓅷 𓄿 𓅓 𓋳		a woman's garment	for chich REIF -- / chic ermel?	
36	woman	𓅓 𓏏𓏏𓀐		dead woman		
36	woman	𓅓 𓏏𓏏𓏱 𓈟 𓏏𓁐		dead woman		
36	woman	𓅱𓆓 𓂝 𓏏𓐣 𓁐	wmn-scheid+++	divorced woman		
36	woman	𓅱𓆓 𓂝 𓏏𓐣 𓁐		divorced woman	udshot  DE ⇔ mUschel / DAWUD ⇔ tamud? ⇔ ttalaq	
36	woman	𓇋𓄩 𓐍 𓏏		revered one 		
36	woman	𓇋𓄿 𓇋𓇋𓏏𓀗 𓁐		old woman		
36	woman	𓇋𓄿 𓇋𓇋𓏏𓁐		old woman	⇔ Hark : haggard hag ⇔ Hexe / harlot=whore / ⇔ Karies? / ⇔ Hirten! YES:	
36	woman	𓇋𓄿 𓏏𓀗		old woman		
36	woman	𓈖𓈙 𓂻		expel , divorce, drive apart , put away ,		
36	woman	𓈟 𓏏𓁐		woman, wife	brünnt ⇔ Braut	
36	woman	𓉿 𓅓 𓏏𓁐		Asiatic woman		
36	woman	𓊃𓏏𓁐		woman, wife	Sit! / Zt! / zan @Pers! / Xanthippe Xant~kin,hoebe=love ← / Zeter / 'Schöness' / Gyneth ⇔ queen / ku-na-ja/ ku-na-ki-si / hamharem@Pers	
36	woman	𓊃𓏏𓁐 𓈞 𓏏𓁐		woman, wife	Zant Brünt / Xanthippe 	
36	woman	𓊃𓏏𓈟 𓏏𓁐		woman, wife		
36	woman	𓋴𓄟 𓋴𓇋𓇋𓏯		© deliver 		
36	woman	𓋴𓄟 𓋴𓏯		© deliver 	smessage smesi ⇔ gymnasi ?	
36	woman	𓋴𓆛		woman who breast feeds	←	
36	woman	𓋴𓍑 𓄿 𓅓 𓂺		© lie 	shank 'Kolben' shag shake schekeln schenkeln / ⇔	
36	woman	𓌰 𓅓 𓎛 𓇋𓇋𓅪  𓏏		free woman ?    -vål	messferi / messfrei ⇔ messfrau wald??	
36	woman	𓐣 𓏏𓏛 𓁐		divorced woman	Divath++ divorthe EN++ VS	
37	man	𓀀 𓀀 𓀀	MEN	 man, men, mankind, Egyptians		
37	man	𓀻 𓋴𓀀		nobleman, wealthy man	Monsir = Mr.	
37	man	𓀻 𓋴𓋴		wealthy man  Y	Monssir = Mr.	
37	man	𓁷 𓂋 𓇯 𓀀		head man	Oberherr / afasir: officer++ @ Kurd	
37	man	𓐍 𓅓 𓁸		ignorant man	igmo / Gabi'  / grey-hair / old = ignorant / buuh	
37	man	𓂋 𓂢 𓈎 𓅪  𓄣 𓏤		disaffected man   -vål	Ekel? / racker / wreck? / Recke / ?? / ⇔ recht-hand/arm	
37	man	𓂋 𓈖𓊪𓆳 𓀔 𓀀		young man	Reiner ^^ / Renault / renphujer ➙ renphuter / Ren-Viecher?	
37	man	𓂋 𓍃 𓀀 𓏥		 man, men, mankind, Egyptians	RMC ^^ vs RTTN Ratten  / Ramesser ^^	
37	man	𓂋 𓍿𓀀		man, men, mankind, Egyptians	Ramcer ^^ 2*with M  abr. / developed / Race / erster? / Earther / Erder	
37	man	𓂋 𓍿𓏏𓀀 𓏥		 man, men, mankind, Egyptians		
37	man	𓂋 𓏏𓀀 𓏥 𓁐		 man, men, mankind, Egyptians	Röter / Retter / Rieter / VS Ramether with M 2* above! Ramosser	
37	man	𓂋 𓐍 𓏛 𓀀		wise man		
37	man	𓂋 𓐍 𓏛 𓏏𓐍 𓏛 𓏥 𓀀		wise, learned man	"recter-tecter / ""rector-teacher"""	
37	man	𓂋 𓐝 𓍿𓀀 𓁐		 man, men, mankind, Egyptians	Ramesser +++ ← >>> Mizraim / RenMinCa ?? / re-parther / Remsi ⇔	
37	man	𓂝	++	hinder parts , anus	ors,arse ⇔ mors	
37	man	𓂝 𓈖𓁺 𓏛 𓀀		the pleasant man	Anmutiger	
37	man	𓂝 𓊪𓂋 𓐢 𓏜		provide, equip , man , aquire, incur 	offer ++ aphuire aquire equiper <<++	
37	man	𓂝 𓊪𓂋 𓏛		provide, equip , man , aquire, incur 	offerter	
37	man	𓂝 𓊪𓏜		provide, equip , man , aquire, incur 	offer	
37	man	𓂝 𓍑 𓄿 𓂡 𓀀		guilty man, wrongdoer		
37	man	𓃀 𓍿𓈖𓏌𓅱𓂉 𓏤		defiant man, rebel		
37	man	𓃀 𓍿𓈖𓏌𓅱𓂝 𓀀		defiant man, rebel		
37	man	𓃀 𓎼 𓄿 𓏲 𓈗 𓀀		shipwrecked man	binerun meerer	
37	man	𓃀 𓏏𓈖𓂉 𓀜 𓄣 𓏤		insolent man		
37	man	𓃀 𓏏𓈖𓏌𓂡		defiant man, rebel		
37	man	𓃀 𓏏𓈖𓏌𓅱𓂉 𓀐		defiant man, rebel	Phøtaner	
37	man	𓄊 𓂋 𓀀		wealthy man		
37	man	𓄊 𓋴𓂋 𓀀		wealthy man	makger / macher ⇔ maha-ratja / Maxer / Maser / Vesir	
37	man	𓄊 𓋴𓂋 𓂡 𓀀		wealthy man		
37	man	𓄡 𓏏𓏤 𓀀 𓁐 𓏥		body , generation, people	scrot / ←?!?>	
37	man	𓄦 𓏏𓏤		back, spine ,middle 	Post.Grat ® / ⇔ bank?	
37	man	𓅓 𓏏𓀐		dead man, mortal man		
37	man	𓅓 𓏏𓏱		dead man	murto / parti	
37	man	𓅖 𓇋𓇋𓅱𓈗		semen, seed of man	mayn seas : men seed = semen ++++ N / ~milch? vs / susar@Persia! ⇔ essence Soße!	
37	man	𓅮𓏏𓏗 𓍘 𓇋		man of ancient family	Flut Seti !	
37	man	𓅷 𓄿 𓇋𓇋𓂺 𓀀		male, man	para.sen = para.jeun = parente ! DEEP parisen ⇔ per-ibsen / ⇔ senior	
37	man	𓅷 𓇋𓇋		male, man	?? ⇔ min-pottery !?	
37	man	𓅷 𓇋𓇋		male, man	phai ⇔ boy !? / chuck norris 	
37	man	𓅾 𓅱𓀁𓀀		timid, frightened man		
37	man	𓅾 𓏛		timid, frightened man	necropolis	
37	man	𓆂 𓏏𓏥		 man, men, mankind, Egyptians		
37	man	𓆄 𓏲 𓅪  𓀀		needy man  -vål	schwenz voll  / ~Schwindler / Sinuhe!! / ⇔ Swizz--	
37	man	𓆑 𓄿 𓎡 𓀀		shorn man		
37	man	𓆓 𓆑 𓄿 𓇋𓇋𓏳 𓀀		a well - provided man	Schnösel 	
37	man	𓆓 𓈖𓏌𓏲		angry man		
37	man	𓇅 𓆓 𓏛 𓀀		fortunate man	Richter! ⇔ / Richer / Richard ⇔ chard	
37	man	𓇇 𓅱𓀀		marsh - man		
37	man	𓇉 𓄿		naked man	 nude / hairy	
37	man	𓇉 𓄿 𓏮 𓅱𓋳 𓀀		naked man		
37	man	𓇋𓂧 𓎛 𓇋𓇋𓇇 𓀀		marsh-man		
37	man	𓇋𓂧 𓎛 𓇋𓇋𓇇 𓊖 𓀀		marsh - man	Fischer ++ / Watery / ~Idher : river	
37	man	𓇋𓃀  𓈗 𓀁		a thirsty man  E }		
37	man	𓇋𓃀 𓃙 𓀁𓀀		thirsty man	pthbhty ~ δiψ.y = thirsty original GR! ++ / vs aba ƒth ⇔ aber ab💧 ob? abvi aqui aqua ? / fthr⇔wasser?	
37	man	𓇋𓄿 𓀗		old man	hier / ⇔	
37	man	𓇋𓄿 𓅱𓀀		old man	hieren	
37	man	𓇋𓄿 𓏏𓄦		back, spine 		
37	man	𓇋𓄿 𓏏𓄦 𓄻		back, spine 		
37	man	𓇋𓄿 𓏏𓄦 𓏏		back, spine , middle 	reverse! / Ferse!	
37	man	𓇋𓆑 𓄹		flesh 	fth ~ flesh	
37	man	𓇋𓆛 𓈖𓂧 𓅪  𓀀		the afflicted man   -vål	"ein-Leider ++ / ein-downer  / ""einer weniger "" / Ein-dauner / ein doofer / ein lettver ---"	
37	man	𓇋𓆛 𓈖𓌰 𓅓 𓄛		skin , hues , development, complexion	?	
37	man	𓇋𓈎 𓂋 𓏛 𓀀		a trustworthy man, wiseacre	akurater	
37	man	𓇋𓏲 𓆑 𓄻 𓏥		flesh 	'enschen-bein / ⇔Sünd-bein	
37	man	𓈎 𓈖𓀜 𓀀		brave man	kühn! keen +++	
37	man	𓈎 𓈖𓏮 𓂡		brave man	kühn	
37	man	𓈖𓆱 𓐍 𓏏𓀜 𓀀		strong man, champion		
37	man	𓈖𓇉 𓄿 𓅱𓏛 𓏥		sad man		
37	man	𓈙 𓂋 𓂋 𓅪  𓀀		small, lowly man   -vål		
37	man	𓈙 𓂋 𓇋𓅪  𓀀		small, lowly man   -vål		
37	man	𓈙 𓍯 𓀃		poor man	Streuner?	
37	man	𓈙 𓍯 𓄿 𓅱𓀢 𓏛 𓀀		poor man		
37	man	𓈙 𓍯 𓄿 𓅱𓅪  𓀀		poor man   -vål		
37	man	𓉲 𓇋𓇋𓀀		man of good counsel	Canasta	
37	man	𓊃𓀀 𓏤		man, someone, anyone, -one, man of rank	Sir	
37	man	𓊃𓆰 𓏤		man, someone, anyone,  one, man of rank	ziher : Sir / ⇔ Syrer ?	
37	man	𓊃𓇋𓏤		man, someone, anyone, -one, man of rank	Sir / zione / sam'one = someone ++	
37	man	𓊃𓏤		man, someone, anyone, -one, man of rank	ßam' / some!!	
37	man	𓊪𓅮𓄿 𓏏𓏮 𓏗		primaeval god, man of ancient family	~voatu / pater ++ / Vater ++	
37	man	𓊪𓆓 𓂻		stretch out 	push++ / fuß... ?	
37	man	𓋉  𓐍𓋉𓅓𓊖 𓏠    𓍱𓃀𓏏𓄿		Khem.Min  Ger.man ithyphallic God '' Schubiter = Jupiter !!	"Menes ➙ k'Amon amen Moon Monthu ... Narmer~Norman? Mensartio ⇔ Mensa? / Min  is an ancient Egyptian god whose cult originated in predynastic times . He was represented in many different forms, but was often represented in male human form, shown with an erect penis which he holds in his left hand and an upheld right arm holding a flail. As KHEM or Min, he was the god of reproduction /  as Khnum, he was the creator of all things, ""the maker of gods and MEN"". / ⇔"	
37	man	𓋴𓂋 𓀙		GeR Ger-arier nobleman, magistrate	Schreck! :	
37	man	𓋴𓆑 𓅱𓂉 𓀁		the gentle man	genus …	
37	man	𓋴𓐟		wise man	saba <> savant ++	
37	man	𓋴𓐟 𓄿 𓂋 𓌗 𓇋𓇋𓅪		needy man     -vål	spare sparrow ? <> savant!--	
37	man	𓋴𓐟 𓄿 𓆭		needy man		
37	man	𓋴𓐟 𓄿 𓇋		needy man		
37	man	𓋴𓐟 𓄿 𓐎 𓅪  𓂝 𓏤		the weak of arm, weak man   -vål	Speier speien ++ DE / Spacker Spacken  ƒ no K	
37	man	𓋺 𓏏𓏤		shade , spirit 	Sunshade a type of small	
37	man	𓌳 𓂋 𓌗		wretched man, pauper *		
37	man	𓌳 𓄿 𓂋 𓌗 𓅪  𓀀		wretched man, pauper   -vål		
37	man	𓌳 𓄿 𓅱𓏏𓏛		wretched man, pauper	~ nul-laud	
37	man	𓌳 𓄿 𓇋𓂋 𓌗 𓇋𓇋𓅪  𓀀		wretched man, pauper     -vål	liar?	
37	man	𓌳 𓄿 𓊨 𓏏𓂾		knee , hock 	Leiste  / mest ➙ knest	
37	man	𓌳 𓄿 𓊨 𓏏𓂾		knee , hock 	maher sit Bein	
37	man	𓌳 𓄿 𓊨 𓏏𓂾		knee , hock 	knisit Bein	
37	man	𓌳 𓇋𓂋 𓌗 𓅪		wretched man, pauper   -vål	Liar	
37	man	𓌳 𓋴𓏏𓂾		knee , hock 		
37	man	𓌳 𓋴𓏏𓂾		knee , hock 	Mast Bein / Last Bein	
37	man	𓌴 𓁹 𓄿 𓂋 𓌗 𓅪  𓀀		wretched man, pauper    -vål	Schalk-- / Mayer	
37	man	𓍋 𓅓 𓂋 𓅁		sick man   be displeasing to}		
37	man	𓍲 𓈖𓍘 𓇋𓇋𓀜		quarrelsome man, foe , courtier		
37	man	𓍲 𓈖𓏏𓀜 𓀀		quarrelsome man, foe , courtier		
37	man	𓍿𓂋 𓀀 𓁐 𓏥		 man, men, mankind, Egyptians	human / Egypt ⇔ kaiman	
37	man	𓍿𓂋 𓀀 𓁐 𓏥		 man, men, mankind, Egyptians	CRman / common / black human / Kurer / Jurer / Tschurer / Syrer ?? / an.thropia / ^^^^^^^^^ ← !!!! / adami : human / insani : human AR lol	
37	man	𓍿𓈖𓇋𓀘		old man		
37	man	𓍿𓈖𓇋𓀘		old man, elder	δyni / ⇔ cyniker, gonie	
37	man	𓎛 𓃹 𓈖𓀔		child, young man		
37	man	𓎛 𓃹 𓈖𓇬 𓀔		child, young man	Hase / Hansen  / 'Hunsen' / Hosen-voll	
37	man	𓎛 𓅨 𓂋 𓅱𓀔 𓀀		poor, humble man, despicable person		
37	man	𓎛 𓅨 𓂋 𓅱𓀔 𓅪  𓀀		poor, humble man, despicable person    -vål		
37	man	𓎛 𓇉 𓄿 𓏏𓀀		naked man	häscherter / ⇔ horny  / ]	
37	man	𓎛 𓇬 𓈖		child, young man  D	Hasen-schard / Hasen-schard	
37	man	𓎛 𓈎 𓂋 𓀁𓀀		hungry man		
37	man	𓎛 𓈎 𓂋 𓅁		hungry man		
37	man	𓎼 𓂋 𓀁𓀀		the silent man		
37	man	𓎼 𓂋 𓅱𓀁𓀀		the silent man	Grimmer / Gramer / Gruner ⇔ grantig / Greiner / Groller	
37	man	𓏏𓍯 𓄿 𓀢 𓀀		man of low station, inferior		
37	man	𓏏𓍯 𓄿 𓇋𓇋𓏲 𓀢 𓀁𓀀		man of low station, inferior	Traueri	
37	man	𓏠 𓈖𓅪  𓀀		sick man  -vål		
37	man	𓏠 𓈖𓏏𓂾		thigh , haunch 		
37	man	𓐍 𓅓 𓁸		ignorant man	igmo / Gabi'  / grey-hair / old = ignorant / buuh	
37	man	𓐢 𓂋 𓏛		provide, equip, acquire, incur, man 		
38	man	𓀀 𓀀 𓀀	MEN	 man, men, mankind, Egyptians		
38	man	𓀻 𓋴𓀀		nobleman, wealthy man	Monsir = Mr.	
38	man	𓀻 𓋴𓋴		wealthy man  Y	Monssir = Mr.	
38	man	𓁷 𓂋 𓇯 𓀀		head man	Oberherr / afasir: officer++ @ Kurd	
38	man	𓐍 𓅓 𓁸		ignorant man	igmo / Gabi'  / grey-hair / old = ignorant / buuh	
38	man	𓂋 𓂢 𓈎 𓅪  𓄣 𓏤		disaffected man   -vål	Ekel? / racker / wreck? / Recke / ?? / ⇔ recht-hand/arm	
38	man	𓂋 𓈖𓊪𓆳 𓀔 𓀀		young man	Reiner ^^ / Renault / renphujer ➙ renphuter / Ren-Viecher?	
38	man	𓂋 𓍃 𓀀 𓏥		 man, men, mankind, Egyptians	RMC ^^ vs RTTN Ratten  / Ramesser ^^	
38	man	𓂋 𓍿𓀀		man, men, mankind, Egyptians	Ramcer ^^ 2*with M  abr. / developed / Race / erster? / Earther / Erder	
38	man	𓂋 𓍿𓏏𓀀 𓏥		 man, men, mankind, Egyptians		
38	man	𓂋 𓏏𓀀 𓏥 𓁐		 man, men, mankind, Egyptians	Röter / Retter / Rieter / VS Ramether with M 2* above! Ramosser	
38	man	𓂋 𓐍 𓏛 𓀀		wise man		
38	man	𓂋 𓐍 𓏛 𓏏𓐍 𓏛 𓏥 𓀀		wise, learned man	"recter-tecter / ""rector-teacher"""	
38	man	𓂋 𓐝 𓍿𓀀 𓁐		 man, men, mankind, Egyptians	Ramesser +++ ← >>> Mizraim / RenMinCa ?? / re-parther / Remsi ⇔	
38	man	𓂝	++	hinder parts , anus	ors,arse ⇔ mors	
38	man	𓂝 𓈖𓁺 𓏛 𓀀		the pleasant man	Anmutiger	
38	man	𓂝 𓊪𓂋 𓐢 𓏜		provide, equip , man , aquire, incur 	offer ++ aphuire aquire equiper <<++	
38	man	𓂝 𓊪𓂋 𓏛		provide, equip , man , aquire, incur 	offerter	
38	man	𓂝 𓊪𓏜		provide, equip , man , aquire, incur 	offer	
38	man	𓂝 𓍑 𓄿 𓂡 𓀀		guilty man, wrongdoer		
38	man	𓃀 𓍿𓈖𓏌𓅱𓂉 𓏤		defiant man, rebel		
38	man	𓃀 𓍿𓈖𓏌𓅱𓂝 𓀀		defiant man, rebel		
38	man	𓃀 𓎼 𓄿 𓏲 𓈗 𓀀		shipwrecked man	binerun meerer	
38	man	𓃀 𓏏𓈖𓂉 𓀜 𓄣 𓏤		insolent man		
38	man	𓃀 𓏏𓈖𓏌𓂡		defiant man, rebel		
38	man	𓃀 𓏏𓈖𓏌𓅱𓂉 𓀐		defiant man, rebel	Phøtaner	
38	man	𓄊 𓂋 𓀀		wealthy man		
38	man	𓄊 𓋴𓂋 𓀀		wealthy man	makger / macher ⇔ maha-ratja / Maxer / Maser / Vesir	
38	man	𓄊 𓋴𓂋 𓂡 𓀀		wealthy man		
38	man	𓄡 𓏏𓏤 𓀀 𓁐 𓏥		body , generation, people	scrot / ←?!?>	
38	man	𓄦 𓏏𓏤		back, spine ,middle 	Post.Grat ® / ⇔ bank?	
38	man	𓅓 𓏏𓀐		dead man, mortal man		
38	man	𓅓 𓏏𓏱		dead man	murto / parti	
38	man	𓅖 𓇋𓇋𓅱𓈗		semen, seed of man	mayn seas : men seed = semen ++++ N / ~milch? vs / susar@Persia! ⇔ essence Soße!	
