587	SUDDENLY	цIеххьана	čieʜːənə	~	иаалырҟьаны	iɑːlɨrqʼʲenɨ		მოულოდნელად	mɔulɔdnɛlɑd		հանկարծ	hɑŋkɑɾč		
588	INSTANTLY	цу сохьтта	ču͡ʊ soʜtːə		иаразнакҵәҟьа	i ɑrɑznɑkʼčʼʷqʼʲe		ახლავე	ɑxlɑvɛ	<<	իսկույն	iskujn		
589	LATER	тӏаьхьо	tʼæʜo		уажəшьҭаншəа	uɑʐəʃtʰɑnʂəɑ		მოგვიანებით	mɔɡviɑnɛbitʰ	--	ավելի ուշ	ɑvɛli uʃ		
590	NOW	хӏинца	hɪnčə	heutse	уажәы	uɑʒʲʷy	just jetzto itzo	ახლა	ɑxlɑ		այժմ	ɑjʒm		
591	TODAY	тахана	təxənə	te.sun	иахьа	iɑχʲe		დღეს	dɣɛs	days,tags	այսօր	ɑjsɔɾ		
592	TOMORROW	кхана	qə̄nə	güne	уаҵәы	uɑč ʼʷɨ		ხვალ	xvɑl		վաղը	vɑʁə		
593	SOON	кеста	kestə		иласны	ilɑsnɨ		მალე	mɑlɛ	<> ein mal	շուտով	ʃutɔv		
594	THEN	тӏаккха	tʼəqːə	then.que	нас	nɑs	乃 Naǐ 那 na  nachher	მერე	mɛrɛ	more mere 	ապա	ɑpɑ		
595	YESTERDAY	селхана	selxənə	sol.sun	иацы	iɑč ʰɨ		გუშინ	ɡuʃin	go.sun  𓋴𓆑𓇳 gestern ☼ !!!	երեկ	jɛɾɛk		
596	ONCE (IN THE PAST)	цкъа	čqʼə		зны	znɨ	ocne once	ოდესღაც	ɔdɛsɣɑč ʰ		հին ատեն	hin ɑtɛn		
597	AT THAT TIME	хӏетахьь	hetəʜʲ	then	усҟан	usqʼɑn		მაშინ	mɑʃin	ma.then ☼ 	ատէնին	ɑtɛnin		
598	AFTERWARDS	тӏаккха	tʼəqːə		нас	nɑs	乃 Naǐ nachher	მერმე	mɛrmɛ	<> mɛrɛ	ապա	ɑpɑ		
599	BEFORE	хьалхa	ʜəlxa		уаанӡа	uɑɑnd͡zɑ	ante	ადრე	ɑdrɛ	other, andre, ante	առաջ	ɑrɑçʰ		
600	AT FIRST	хьалха	ʜəlxə		азнаказы	áznɑkʼɑzɨ	erstens	ჯერ	d͡ʒɛr		նախ	nɑχ		
601	ONE TIME	цкъа	čqʼə		зны	znɨ		ერთხელ	ɛrtʰxɛl	erstx	մի անգամ	mi ɑŋkʰɑm		
602	SOMETIMES	цкъаццкъа	čqʼəčːqʼə		зны-зынла	znɨzɨnlɑ		ხან	xɑn	xɑn-times	երբեմն	jɛɾbɛmən		
603	OFTEN	кест-кеста	kest-kestə	<3	лассы-лассы	lɑssɨlɑssɨ		ხშირად	xʃirɑd	shirad?	հաճախ	haçax		
604	ALWAYS	даим	də̄ɪm		енагь	ɛnɑɡʲ		მუდამ	mudɑ m	<<	միշտ	miʃt		
605	NEVER	цкъа а	čqʼə ə		ианакəызаалак	iɑnɑkʼəɨzɑːlɑkʼ		არასდროს	 ɑrɑsdrɔs		երբեք	jɛɾbɛkʰ		
606	HERE	кхузахь	qu͡ʊzəʜ	qvo.ze	ара	 ɑrɑ	here	აქ	ɑkʰ	"𓇑 | 𓉻 𓂝 𓈐	aci  屮chè"	այստեղ	ajstɛɣ		
607	HITHER	кхуза	qu͡ʊzə		ара	 ɑrɑ		აქეთ	ɑkʰɛtʰ		այստեղ	ɑjstɛʁ		
608	HENCE	кхузара	qu͡ʊzərə		арантә	 ɑrɑnt͡pʼ		აქედან	ɑkʰɛdɑ n		այդտեղից	ɑjdtɛʁičʰ		
609	THERE	цигахь	čɪɡəʜ	therg	уа	uɑ	wo, yonder	იქ	ikʰ		այնտեղ	ajntɛɣ		
610	THITHER	цига	čɪɡə	therg	уахь	uɑχʲ		იქით	ikʰitʰ		այնտեղ	ɑjntɛʁ		
611	AHEAD	нийса дӏа	nɪɪ̆sə dʡə		ишиашоу	iʂiɑʂɔu		პირდაპირ	pˀirdɑ pˀir	pro.da.pro 	ուղիղ	uʁiʁ		
612	FORWARD	хьалха	ʜəlxə̄		ҕхьаҟа	ʁχʲeqʼɑ		წინ	čˀin		առաջ	aɾad͡ʒ		
613	BACKWARD	юха	juxə	juxta?	шьҭахьла	ʃtʰɑχʲlɑ		უკან	ukˀɑn	rücken	դեպի ետ	dɛpi ɛt		
614	BACK (DIRECTION)	юха	juxə		шьҭахьҟа	ʃtʰɑχʲqʼɑ		უკანვე	ukˀɑnvɛ	back.anve	ետ	jɛt		
615	DOWN OR BELOW	лахахь	ləxəʜ		лбаа	lbɑː		დაბლა	dɑ b lɑ	topple dowl down	ներքեւում	nɛɾkʰɛvum		
616	DOWN	охьа	oʜə	un'e	алада	ɑlɑdɑ 	a-la down, al under	ძირს	d͡zirs		ներքեւ	nɛɾkʰɛv		
617	ABOVE	лакхахь	ləqəʜ		хыхь	χɨχʲ		ზემოთ	zɛmɔtʰ	<<	վերեւում	vɛɾɛvum		
618	UP	хьала	ʜələ	hel! ili	аҩада	ɑɥɑdɑ 	--	ზევით	zɛvitʰ		վերեւ	vɛɾɛv		
619	EVERYWHERE	массанхьа	məsːənʜə̄	mucha ante	зегьынцьара	zɛɡʲinčʰʲ ɑrɑ		ყველგან	qˀvɛlɡɑ n		ամենուր	amɛnuɾ		
620	NOT	ца	čə	---- (n)ikke @ FIN	-м	m	mei  𓅓𓂜	არ	ɑr	a¬  ul¬ 𒌌 ulla owl 𓅓 ohn  	չէ	çʰɛ		
621	A LITTLE	кӏеззиг	kʼezːɪɡ	klitzig	ҕыҭк	ʁɨtʰkʼ	~little ;)	ცოტა	čʰɔtˀɑ	tüttel	մի քիչ	mi kʰiçʰ		
622	HARDLY	халла	xəlːə	kaulm	аарлаҳәа	ɑːrlɑħʲʷø		ძლივს	d͡zlivs		հազիվ	hɑziv		
623	VERY	вуно	vu͡ʊno	verny	даара	dɑ  ɑrɑ	sehr	მეტად	mɛtˀɑd	mutcha	շատ	ʃɑt		
624	SO (IN THIS WAY)				ас	ɑs	a'so	ისე	isɛ	a'so	այդպես	ɑjdpɛs		
625	STILL	кхин	qɪn	quie.t/n	макьана	mɑkʼʲenɑ	ma.кхин qɪn	ჯერ	d͡ʒɛr	𓎼𓂋𓀁	դեռ	dɛr		
626	ONLY	бен ...ца	ben ...čə		заҵәык	zɑč ʼʷɨkʼ		მხოლოდ	mxɔlɔd	m.solo.de	միայն	miɑjn		
627	ALREADY	хӏинцале	hɪnčəle		уажәшьҭа	uɑʒʲʷʃtʰɑ		უკვე	ukˀvɛ		արդեն	ɑɾtʰɛn		
628	AGAIN	юха а	juxə ə		ҿыц	ʈʈ͡ʂʼɨčʰ		ისევ	isɛv		նորից	nɔɾičʰ		
629	IN VAIN	эрна	ernə		баша	bɑʂɑ		ამაოდ	ɑmɑɔd		իզուր	izuɾ		
630	IN FRONT OF	хьалха	ʜəlxə		аҕхьа	ɑʁχʲe		წინ	čˀin	chin	դիմացը	dimɑčʰə		
631	BEHIND	тӏехьа	tʼeʜə		нхыҵ	nχɨčʼ		უკან	ukˀɑn	be.ukhan.de	ետեւը	jɛtɛvə		
632	BELOW OR UNDER	кIелахь	kieləʜ		амҵа	ɑmčʼɑ		ქვეშ	kʰvɛʃ		տակ	tɑk		
633	THROUGH	чекх	çeq	durch				გავლით	ɡɑ vlitʰ		միջով	miçʰɔv		
634	NEXT TO	юххе	juxːē	juxa	ааигуара	ɑːiɡu ɑrɑ		გვერდით	ɡvɛrditʰ		քովը	kʰɔvə		
635	BETWEEN	юккъехь	jukːʔeʜ	juxa	абжьара	ɑb ʒ ɑrɑ		შუა	ʃuɑ		միջեւ	miçʰɛv		
636	BECAUSE OF	дуьхьа	dyʜə	denn	-иззы	izzɨ		გამო	ɡɑ mɔ	quam, comme, gar	պատճառով	pɑtː͡ʃɑrɔv		
637	THIS	и	ɪ	a	ари	ɑri		ეს	ɛs	'is	սա	sɑ		
638	THAT	и	ɪ		Абни	ɑb ni		ეგ	ɛɡ	'ec	դա	da		
639	ALL	дерриг	derːɪɡ	der>cer>cal	зегьы	zɛɡʲi		ყველაფერი	qˀvɛlɑpʰ ɛri	𓎟 ++++	ամեն ինչ	ɑmɛn inçʰ		
640	I	cо	co	egi i.go icho	са	sɑ	cо, ego	მე	mɛ	me	ես	jɛs		
641	THOU	хьо	ʜo	'ou	бара	b ɑrɑ	---	შენ	ʃɛ n	sein	դու	du		
642	HE OR SHE OR IT	и	ɪ	he	иара	i ɑrɑ	her	ის	is	his	նա	na		
643	WE	тхо	txo	--	ҳара	ħ ɑrɑ	wir	ჩვენ	çvɛn	x.wen	մենք	mɛnkʰ		
644	YOU	шу	ʃu͡ʊ	syou	шәара	ʃʲʷørɑ	sir	თქვენ	tʰkʰvɛn	𓏏𓎡 => 𓍿𓈖 	դուք	dukʰ		
645	THEY	уьш	yʃ		дара	d ɑrɑ	der	ისინი	isini	them	նրանք	nəɾɑŋkʰ		
646	WHAT	хӏун	hu͡ʊn	quon				რა	rɑ	ra???	ինչ	inçʰ		
647	WHO	мила	mɪlə	mi	дарбан	dɑ rbɑn	--	ვინ	vin	whon	ով	ʋɔv		
648	WHERE	мичaхь	mɪçaʜ	mi	иабыкуу	iɑb ɨkʼuu		სად	sɑd	site?	ուր	uɾ		
649	WHITHER	мича	mɪçə	mi	иабыкуу	iɑb ɨkʼuu		საით	sɑitʰ	site? zu.da?	դեպի ուր	dɛpi uɾ		
650	HOW	муха	mu͡ʊ̄xə	mi	-шҕа	ʂʁɑ		როგორ	rɔɡɔr	ra??? gar	ինչպես	inçʰpɛs		
651	WHY	хӏунда	hu͡ʊndə	mi	избан	izbɑn		რაზე	rɑzɛ	reason?	ինչու	inçʰu		
652	HOW MUCH	мел	mel	mi	заҟа	zɑqʼɑ		რამდენი	rɑm dɛni		որչափ	ʋɔɾçʰɑpʰ		
653	ONE	цхьаъ	čʜəʔ	erste	акы	ɑkʼɨ	ek	ერთი	ɛrtʰi	1 erst	մեկ	mɛk		
654	TWO	шиъ	ʃɪʔ	tsei	ҩба	ɥbɑ	2 bi tiu.bɑ:number	ორი	ɔri	𓏮𓏌𓏛 երկու erku 二 èr   & more~door 門~鬥	երկու	jɛɾku		
655	THREE	кхоъ	qoʔ	qoree	хҕа	χʁɑ	3 thrai	სამი	sɑmi	3 三 sān Ϣomte𐎘𐎍𐎘 shams some ∑	երեք	jɛɾɛkʰ		
656	FOUR	диъ	dɪʔ	ditra	ҕшьба	ʁʃbɑ	шourba	ოთხი	ɔtʰxi	4 votri 四 asyr 西 oxi.dent much	չորս	çʰɔɾs		
657	FIVE	пхиъ	pxɪʔ	pjenj	хəба	χəbɑ	χənq.ba  χfi.ba five	ხუთი	xutʰi	5 quinte khuti ხuუti penti  უ~n !	հինգ	hiŋkʰ		
658	SIX	ялх	jəlx	selx	фба	fbɑ	----	ექვსი	ɛkʰvsi	6  s'echs @Turk	վեց	vɛčʰ		
659	SEVEN	ворхӏ	vor̥	---	Бжьба	bʒbɑ	7 ʒbɑ sieba	შვიდი	ʃvidi	7 sevdi	յոթ	jɔtʰ		
660	EIGHT	бархӏ	bər̥	ba!	ааба	ɑːbɑ	8 ahba acht.bā:八	რვა	rvɑ	bar<>urba?	ութ	utʰ		
661	NINE	исс	ɪsː		жәба	ʒʲʷbɑ	1+8	ცხრა	čʰxrɑ		ինը	inə		
662	TEN	итт, йтта	ɪtː	nt/tn/tē	жәаба	ʒʲʷøbɑ	2+8	ათი	ɑtʰi	ɑtʰin	տասը	tɑsə		
663	ELEVEN	цхьайтта	čʜəɪ̆tːə	tzeh.erst	жәеизатәи	ʒʲʷɛizɑt͡pʼi		თერთმეტი	tʰɛrtʰmɛtˀi		տասնմեկ	tɑsnmɛk		
664	TWELVE	шийтта	ʃɪɪ̆tːə	zweite	жәаҩа	ʒʲʷøɥɑ		თორმეტი	tʰɔrmɛtˀi		տասներկու	tɑsnɛɾku		
665	TWENTY	ткъа	tqʼə	twq 2	ҩажәа	ɥɑʒʲʷø	zwanzig	ოცი	ɔčʰi	20 venčʰi / ɔčʰinty	քսան	kʰəsɑn		
666	THIRTY	ткъе итт	tqʼe ɪtː		ҩажәижәабатәи	ɥɑʒʲʷiʒʲʷøbɑt͡pʼi		ოცდაათი	ɔčʰdɑ ɑtʰi	20+10 ɔčʰ.thirty	երեսուն	jɛɾɛsun		
667	FORTY	шовзткъа	ʃɔ͡ʊztqʼə		ҩынҩажәа	ɥɨnɥɑʒʲʷø		ორმოცი	ɔrmɔčʰi	2*20	քառասուն	kʰɑrɑsun		
668	FIFTY	шовзткъе итт	ʃɔ͡ʊztqʼe ɪtː		ҩынҩажәеижәаба	ɥɨnɥɑʒʲʷɛiʒʲʷøbɑ		ორმოცდაათი	ɔrmɔčʰdɑ ɑtʰi	2*20+10	հիսուն	hisun		
669	SIXTY	кхузткъа	qu͡ʊztqʼə		хынҩажәа	χɨnɥɑʒʲʷø		სამოცი	sɑmɔ čʰi	3*20	վաթսուն	vɑtʰsun		
670	SEVENTY	кхузткъе итт	qu͡ʊztqʼe ɪtː		хынҩажәижәаба	χɨnɥɑʒʲʷiʒʲʷøbɑ		სამოცდაათი	sɑmɔ čʰdɑ ɑtʰi	3*20+10	յոթանասուն	jɔtʰɑnɑsun		
671	EIGHTY	дезткъа	deztqʼə	deca…	ҕшьынҩажәа	ʁʃɨnɥɑʒʲʷø		ოთხმოცი	ɔtʰxmɔčʰi	4*20	ութսուն	utʰsun		
672	NINETY	дезткъе итт	deztqʼe ɪtː	deca…	ҕшьынҩажәижәаба	ʁʃɨnɥɑʒʲʷiʒʲʷøbɑ		ოთხმოცდაათი	ɔtʰxmɔčʰdɑ ɑtʰi	4*20+10	իննսուն	inːsun		
673	HUNDRED	бӏе	bʡe	bǎi:百	шәкы	ʃʲʷkʼɨ	cenc, šenk	ასი	ɑsi	a 100 a'sint <>  Asha 1000	հարյուր	hɑɾjuɾ		
674	THOUSAND	эзар	ezər	ashur	зқьы	zkʰʲi		ათასი	ɑtʰɑsi	a thousi	հազար	hazaɾ		
675	AND	a	a	a.	-и	i	y	და	dɑ 	an.da to	ու	u		
676	OR	я	jə	oя	ма	mɑ	ma? or not?	ან	ɑn		կամ	kɑm		
677	STAND	латта	lətːə	latte;)	агылазаара	ɑɡɨlɑzɑːrɑ	agila.zara	დგას	dɡɑ s		կանգնել	kɑŋkʰnɛl		
678	SIT	хиъна ӏан	xɪʔnə ʡən	xin ezen	атəара	ɑtʼə ɑrɑ	à terra --	ზის	zis	siss	նստել	nəstɛl		
679	LIE (REST)	ӏилла	ʡɪlːə	hin lii	аиара	ɑi ɑrɑ		აწევს	ɑč ˀ ɛvs		ստել	əstɛl		
680	HANG	кхаза	qə̄zə		акнаҳара	ɑkʼnɑħ ɑrɑ		კიდია	kˀidiɑ		կախվել	kaxvɛl		
681	BECOME	хила	xɪlə		аҟалара	ɑqʼɑl ɑrɑ		გახდება	ɡɑ xd ɛbɑ	goeth? - ɛbɑ  -be (come,va) - ɛvɑ -faire	դառնալ	daɾnal		
682	HAPPEN	хила	xɪlə		аҟалара	ɑqʼɑl ɑrɑ		მოხდება	mɔxd ɛbɑ	möged	պատահել	pɑtɑhɛl		
683	START	доло	dōlo		алагара	ɑlɑɡ ɑrɑ	à-la gare	იწყება	ičˀqˀ ɛbɑ	ex.go?	սկսվել	səkəsvɛl		
684	CEASE	дӏадерза	dʡəderzə		алгара	ɑlɡ ɑrɑ		გათავდება	ɡɑ tʰɑvd ɛbɑ	goeth	վերջանալ	vɛɾçʰɑnɑl		
685	CHANGE (BECOME DIFFERENT)	хийца	xɪɪ̆čə	xhanцe	аҽыҧсахра	ɑʈ͡ʂʰɨpʰsɑχrɑ		იცვლება	ičʰvl ɛbɑ		փոխվել	pʰɔχvɛl		
686	RISE (MOVE UPWARDS)	кхета	qetə		агылара	ɑɡɨl ɑrɑ		ამოდის	ɑmɔ dis	<<	բարձրանալ	bɑɾčʰɾɑnɑl		
687	SET (HEAVENLY BODIES)	чубуза	çu͡ʊbu͡ʊzə		аҭашəара	ɑtʰɑʂə ɑrɑ		ჩადის	çɑdis	stathis <> set?	մտնել	mətnɛl		
688	SHINE	серло яла	serlo jələ	sahrla	акаҧхара	ɑkʼɑpʰ χ ɑrɑ		ანათებს	ɑnɑtʰ ɛbs		շողալ	ʃɔʁɑl		
689	THUNDER (VERB)	къекъа	qʼēqʼə		адыдра	ɑdɨdrɑ		ქუხს	kʰuxs	𓈎 𓂋 𓊡 ქარი kʰɑri	որոտալ	ʋɔɾɔtɑl		
690	BLOW (OF WIND)	хьекха	ʜēqə		асра	ɑsrɑ		ქრის	kʰris	𓈎 𓂋 𓊡 ქარი kʰɑri	փչել	pʰəçʰɛl		
691	FLOW (OF RIVER)	эха	exə		акаҭəара	ɑkʼɑtʰə ɑrɑ		იღვრება	iɣvr ɛbɑ	იღვ.river	հոսել	hɔsɛl		
692	FLOW	охьаэха	oʜəexə		ацара	ɑč ʰ ɑrɑ		დის	dis	<> dinis,don : current	հոսել	hɔsɛl		
693	REVOLVE	хьийза	ʜɪɪ̆zə		ахагьежьра	ɑχɑɡʲɛʒrɑ		ტრიალებს	tˀriɑl ɛbs	tˀriɑl < √turn	պտտվել	pətətvɛl		
694	SWAY	леста	lestə		аҵысра	ɑč ʼɨsrɑ		ირხევა	irx ɛvɑ	urge? 	տատանվել	tɑtɑnvɛl		
695	SWING (MOVEMENT)	лесто	lestō		ахызазара	ɑχɨzɑz ɑrɑ		ირხევა	irx ɛvɑ	er.swing ƒ	ճոճվել	çɔçvɛl		
696	FALL	охьакхета	oʜəqetə		акаҳара	ɑkʼɑħ ɑrɑ	𓋴𓉔𓄿𓂻, 𓐍𓂋𓀒, 𓍯𓄿𓈐	დავარდება	dɑ vɑrd ɛbɑ	downward. ɛbɑ	ընկնել	ənknɛl		
697	BURNING	дага	də̄ɡə		абылра	ɑb ɨlrɑ		იწვის	ičˀvis	itch?	այրվել	ɑjɾvɛl		
698	SMOKE (EMIT SMOKE)	оза	ōzə		ахылҵра	ɑχɨlč ʼrɑ		ბოლავს	bɔl ɑvs	blow	ծխել	čəχɛl		
699	RAIN (RAINING)	догlа догlу	doɡlə doɡlu͡ʊ	raining dogs;)	аура	ɑurɑ	𓇶 aura ɑurɑin 𓇲	წვიმს	čˀvims	swim	անձրեւ գալ	ɑntʰ͡zɾɛv ɡɑl		
700	FREEZE	гӏоро	ɣoro	kor	аҵаара	ɑč ʼɑ ɑrɑ		იყინება	iqˀin ɛbɑ	icin'	սառչել	sɑrçʰɛl		
701	THAW	даша	dəʃə	dtauша	аӡҭра	ɑd͡ztʰrɑ		დნება	dn ɛbɑ	Tauen. ɛbɑ	լկիլ	ləkil		
702	MELT	лала	lələ		ақəӡыҭра	ɑkʰəd͡zɨtʰrɑ		დნება	dn ɛbɑ	dew. ɛbɑ	հալիլ	hɑlil		
703	DRY UP	дакъо	dəqʼo	droqno	абара	ɑb  ɑrɑ	à Bare	გაშრება	ɡɑ ʃr ɛbɑ	𓋴𓏲𓈙𓂋𓇳   ʃr < 𓇶  	չորանալ	çʰɔɾɑnɑl		
704	BOIL (OF LIQUID)	кхехка	qexkə		ашра	ɑʂrɑ	achre	დუღს	duɣs	<> dcook?	եռալ	jɛrɑl		
705	SPOIL (BECOME SPOILED)	дахкадала	dəxkə dələ		абаара	ɑb ɑːrɑ		ლპება	lpˀ ɛbɑ	√over	փտել	pʰətɛl		
706	DECAY	дахкадала	dəxkə dələ	~~!!	абаара	ɑb ɑːrɑ		ლპება	lpˀ ɛbɑ	√over	նեխել	nɛχɛl		
707	SNAP (INTO BITS)	хеда	xedə		аҧжəара	ɑpʰ ʐə ɑrɑ		დაიხევა	dɑ ix ɛvɑ	√2?	պատռվել	pɑtrvɛl		
708	SINK (IN WATER)	хичудаха	xɪçu͡ʊdəxə		аӡааҟəрылара	ɑd͡zɑːqʼərɨl ɑrɑ		ეფლობა	ɛpʰl ɔbɑ	ob apple?	սուզվել	suzvɛl		
709	PASS	дlаэха	dləexə		ацара	ɑč ʰ ɑrɑ		გადის	ɡɑ dis	go.des gates	անցնել 	ɑnčʰnɛl 		
710	APPEAR	схьадала	sʜə dələ		ацəырҵра	ɑč ʰəɨrč ʼrɑ		გამოჩნდება	ɡɑ mɔçnd ɛbɑ	ge.moy… 𓁹 𓌴𓁹𓄿𓈖 << ge.nochd √next naked	հայտնվել	hɑjtnvɛl		
711	DISAPPEAR	къайладала	qʼəɪ̆lədə̄lə		аҵашəкəара	ɑč ʼɑʂəkʼə ɑrɑ		გააქრება	ɡɑ ɑkʰr ɛbɑ	go.achter?	անհետանալ	ɑnhɛtɑnɑl		
712	DROP (MOVEMENT)	лахдала	ləx dələ		атəара	ɑtʼə ɑrɑ		დაიწევს	dɑ ičˀ ɛvs	dar.ops drop	ընկնել	əŋknɛl		
713	DECREASE				ацӡаара	ɑč ʰd͡zɑːrɑ		შემცირდება	ʃɛ mčʰird ɛbɑ	sym…?	փոքրանալ	pʰɔkʰɾɑnɑl		
714	INCREASE	лакхадала	ləqə dələ		аҽырҭбаара	ɑʈ͡ʂʰɨrtʰbɑːrɑ		გასუქდება	ɡɑ sukʰd ɛbɑ	go.super?	մեծանալ	mɛčɑnɑl		
715	RISE (MOVEMENT)	хьаладала	ʜələ dələ		азҳара	ɑzħ ɑrɑ		მოიმატებს	mɔimɑtˀ ɛbs	movement?	բարձրանալ	bɑɾčʰɾɑnɑl		
716	GROW	кхиа	qɪə	qɪəw grow	азҳара	ɑzħ ɑrɑ		იზრდება	izrd ɛbɑ	zgrowth? root?	աճել	açɛl		
717	SHINE (OF METAL)	лепа	lēpə	√lux <> lamp	ацыр-цырра	ɑč ʰɨrčʰɨrrɑ		ბრწყინავს	brčˀqˀin ɑvs	bright	նշուլել	nəʃulɛl		
718	TWINKLE	къега	qʼēɡə		ашап-шапра	ɑʂɑpʼʂɑp ʼrɑ		კაშკაშებს	kˀɑʃkˀɑʃ ɛbs	𓐍*𓐍*	փայլատակել	pʰɑjlɑtɑkɛl		
719	BE NOISY	гӏовгӏаян	ɣɔ͡ʊɣəjən		ашьҭыбжьгара	ɑʃtʰɨbʒɡ ɑrɑ		ხმაურობს	xmɑur ɔbs	𓐍𓂋𓊤𓃭𓅱𓀁  Gemurre Klamauk	աղմուկ հանել	ɑʁmuk hɑnɛl		
720	CHIME	детта	detːə		аҵəҵəасра	ɑč ʼəčʼəɑsrɑ		დარეკავს	dɑ rɛkˀ ɑvs	√rect <> ring?	զնգալ	zŋkʰɑl		
721	RING (SIGNAL)	дека	dekə		аҵəҵəасра	ɑč ʼəčʼəɑsrɑ		დარეკავს	dɑ rɛkˀ ɑvs	√rect <> direction	զնգալ	zŋkʰɑl		
722	TINKLE	дека	dekə	tickle	ахьархьарра	ɑχʲerχʲerrɑ		დააწკარუნებს	dɑ ɑč ˀkˀɑrun ɛbs		զնգզնգալ	zŋkʰzŋkʰɑl		
723	ROAR (OF SEA)	хьаьдда даха	ʜædːə dəxə		аилаҽҽара	áilɑʈʈ͡ʂʰ ɑrɑ		ბობოქრობს	bɔbɔ kʰr ɔbs	θόρυβος 𓐍𓂋𓊤	մոլեգնել	mɔlɛɡnɛl		
724	RUSTLE (OF LEAVES)	леста	lestə					შრიალებს	ʃriɑl ɛbs	Schrill ƒ	սոսափել	sɔsɑpʰɛl		
725	SOUND (OF INSTRUMENT)	дека	dēkə		агара	ɑɡ ɑrɑ		ხმას გამოსცემს	xmɑs ɡɑ mɔsčʰɛms		հնչել	hənçʰɛl		
726	BARKING	лета	lētə		ашра	ɑʂrɑ		უყეფს	uqˀ ɛpʰs		հաչել	hɑçʰɛl		
727	HOWL	угӏа	u͡ʊɣə		ауура	ɑuurɑ	hɑuurɑ > howl	ღმუის	ɣmuis		ոռնալ 	ʋɔrnɑl 		
728	BLOW (WITH MOUTH)	хӏуп баха	hu͡ʊp bəxə		аҭəҳəара	ɑtʰəħə ɑrɑ	zisch?	დაუბერავს	dɑ ubɛr ɑvs	dauber d'over?	փչել 	pʰəçʰɛl 		
729	WHISTLE	шок етта	ʃok etːə		ашəшəра	ɑ ʂəʂ ərɑ	zisch?	უსტვენს	ustˀvɛns		սուլել	sulɛl		
730	SHOUT	мохь бетта	moʜ betːə		аҳəҳəара	ɑ ħəħə ɑrɑ	huhu (faire)	ყვირის	qˀviris	cry 𓐍𓂋𓊤!	գոռալ 	ɡɔrɑl 		
731	GROAN	узарш дан	u͡ʊzərʃ dən		ақьра	ɑkʰʲrɑ		კვნესის	kˀvnɛsis	groans	տնքալ	tŋkʰɑl		
732	TREMBLE	дега	dēɡə		аҵыс-ҵысра	ɑč ʼɨsčʼɨsrɑ		აძაგძაგებს	ɑd͡zɑɡd͡zɑɡ ɛbs	≠ 𓈖 𓉔 𓈖 𓉔 𓄿	դողալ	dɔʁɑl		
733	BE ALIVE	даха	dəxə		аҟазаара	ɑqʼɑzɑːrɑ		ცოცხლობს	čʰɔčʰxl ɔbs	<<<	ապրել	apɾɛl		
734	BE BORN	хила	xɪlə		Аира	ɑirɑ	arise <> aryan	იშვება	iʃv ɛbɑ	usher	ծնվել	čənvɛl		
735	BREATHE	садеӏа	sədēʡə		аҕсыҕ лагаҩагара	ɑʁsɨʁ lɑɡɑ ɥɑɡ ɑrɑ		სუნთქავს	suntʰkʰ ɑvs	𓌢𓈖𓂉 <> 𓋴𓋹𓈖𓐍  <  𓐍𓈖𓌰𓅓𓂉𓀁	շնչել	ʃənçʰɛl		
736	DRINK	мала	mələ	miel~med (beer)	ажəра	ɑʐərɑ	𓊃𓅨𓂋𓏊  (ver)zehren  	სვამს	svɑms	𓋴𓅨𓂋 / 𓊃𓅨𓂋𓏊 <>  •swarmed 𓋴𓂋𓅓𓏏𓈓	խմել	χəmɛl		
737	EAT	кхалла	qəlːə	Kehle: كل‎ kal אָכַל	акрыфара	ɑkʼrɨf ɑrɑ	> אָכַל	შეჭამს	ʃɛ çˀɑms	seat = s'eat  setzen	ուտել	utɛl		
738	SWALLOW	къурдбан	qʼu͡ʊrdbən	𓋴𓅨𓂋	албаадара	ɑlbɑːd ɑrɑ		ყლაპავს	qˀlɑpˀ ɑvs	𓋴𓅨𓂋 gulp	կլանել	kəlɑnɛl		
739	GET TIRED	кӏаддала	kʼədːələ	<>	ааҕсара	ɑːʁs ɑrɑ		დაიქანცება	dɑ ikʰɑnčʰ ɛbɑ	<> nights?	հոգնել	hɔɡnɛl		
740	FALL ASLEEP	наб кхета	nəb qētə	nab goto	ацəара	ɑč ʰə ɑrɑ		დაიძინებს	dɑ id͡zin ɛbs	do ratzen	քուն մտնել	kʰun mtnɛl	𓎡𓈖𓌰𓅓𓏏𓇰!	
741	SLEEP	вижа	vɪʒə		ацəазаара	ɑč ʰəɑz ɑːrɑ	čʰəɑz knarz	სძინავს	sd͡zin ɑvs		քնել	kʰənɛl		
742	WAKE UP	самадала	səmə dələ		аҿыхара	ɑʈʈ͡ʂʼɨχ ɑrɑ		გაიღვიძებს	ɡɑ iɣvid͡z ɛbs		արթննալ	ɑɾtʰnːɑl		
743	ARISE (FROM SLEEP)	гӏатта	ɣətːə		Агəылҵра	ɑɡəɨlč ʼrɑ		ადგება	ɑdɡ ɛbɑ		ելլել	jɛlːɛl		
744	REST	садаӏа	sədəʡə	sit, sedate	аҧсшьара	ɑpʰ sʃ ɑrɑ		დაისვენებს	dɑ isvɛn ɛbs		հանգստանալ	hɑŋkʰstɑnɑl		
745	BECOME SICK	цомгуш хила	čomɡu͡ʊʃ xɪlə		ачмазаҩхара	ɑçmɑzɑɥχ ɑrɑ		ავად გახდება	ɑvɑd ɡɑ xd ɛbɑ		հիւանդանալ	hivɑntʰɑnɑl		
